precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,objective,round_id,mode,domain,family,feature_variant,threshold_policy,threshold,abstention_band,calibration,target_variant,seed,status,error,n_features,abstention_coverage,high_conf_precision,input_missing_ratio
0.9416666666666667,0.7018633540372671,0.944,0.8229316770186335,0.8042704626334519,0.8799006211180124,0.8998706446315464,0.1356692469342928,0.8156853475389303,1,caregiver,elimination,lightgbm,engineered,precision_guarded,0.505,0.1,isotonic,elimination_any_baseline,11,ok,,27,0.7482517482517482,0.9411764705882353,0.0214970214970215
0.7461139896373057,0.8944099378881988,0.608,0.7512049689440994,0.8135593220338984,0.8799006211180124,0.8998706446315464,0.1356692469342928,0.8258682259220926,1,caregiver,elimination,lightgbm,engineered,recall_guarded,0.25,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.8356643356643356,0.7461139896373057,0.0214970214970215
0.8407643312101911,0.8198757763975155,0.8,0.8099378881987578,0.8301886792452831,0.8782857142857143,0.893475493745871,0.143834188580513,0.8325882764517054,1,caregiver,elimination,xgboost,compact,balanced,0.405,0.1,isotonic,elimination_any_baseline,11,ok,,20,0.8076923076923077,0.8407643312101911,0.02482517482517483
0.925531914893617,0.5403726708074534,0.944,0.7421863354037267,0.6823529411764706,0.8782857142857143,0.893475493745871,0.143834188580513,0.7338449508314923,1,caregiver,elimination,xgboost,compact,precision_guarded,0.67,0.08,isotonic,elimination_any_baseline,11,ok,,20,0.7797202797202797,0.925531914893617,0.02482517482517483
0.6962616822429907,0.9254658385093167,0.48,0.7027329192546583,0.7946666666666666,0.8782857142857143,0.893475493745871,0.143834188580513,0.812461029451274,1,caregiver,elimination,xgboost,compact,recall_guarded,0.20500000000000002,0.12,isotonic,elimination_any_baseline,11,ok,,20,0.6503496503496503,0.8363636363636363,0.02482517482517483
0.7833333333333333,0.8757763975155279,0.688,0.7818881987577639,0.8269794721407625,0.876944099378882,0.8924968973196012,0.13260211050510406,0.8341841296453973,1,caregiver,elimination,xgboost,engineered,balanced,0.275,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.8846153846153846,0.7833333333333333,0.0214970214970215
0.9482758620689655,0.6832298136645962,0.952,0.8176149068322981,0.7942238267148014,0.876944099378882,0.8924968973196012,0.13260211050510406,0.8084114245693639,1,caregiver,elimination,xgboost,engineered,precision_guarded,0.67,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.986013986013986,0.9482758620689655,0.0214970214970215
0.7833333333333333,0.8757763975155279,0.688,0.7818881987577639,0.8269794721407625,0.876944099378882,0.8924968973196012,0.13260211050510406,0.8341841296453973,1,caregiver,elimination,xgboost,engineered,recall_guarded,0.275,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.8846153846153846,0.7833333333333333,0.0214970214970215
0.7833333333333333,0.8757763975155279,0.688,0.7818881987577639,0.8269794721407625,0.876944099378882,0.8924968973196012,0.13260211050510406,0.8341841296453973,2,caregiver,elimination,xgboost,engineered,balanced,0.275,0.03,isotonic,elimination_any_baseline,11,ok,,27,0.8846153846153846,0.7833333333333333,0.0214970214970215
0.770949720670391,0.8571428571428571,0.672,0.7645714285714286,0.8117647058823529,0.8725962732919255,0.8881258810469921,0.14033667743206024,0.819627692680316,2,caregiver,elimination,xgboost,engineered,balanced,0.33499999999999996,0.1,isotonic,elimination_any_baseline,29,ok,,27,0.6713286713286714,0.926829268292683,0.0214970214970215
