mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
caregiver,adhd,hardened_missing,rf_stability,29,22,isotonic,precision_guarded,0.505,0.9264260577194388,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9507080745341616,0.9564339433923255,0.08533827599134727,0.009366459627329182,0.003813664596273303,0.027972027972027972,0.9370629370629371,0.8776223776223776,0.04243483788938334
caregiver,adhd,hardened_missing,rf_stability,47,22,isotonic,precision_guarded,0.505,0.922606000754917,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9533664596273292,0.9591093872413923,0.0805185455157201,0.004472049689441038,0.0022608695652173716,0.1258741258741259,0.9370629370629371,0.8706293706293706,0.04243483788938334
caregiver,adhd,hardened_missing,rf_stability,83,22,isotonic,precision_guarded,0.67,0.9227268238745119,0.9552238805970149,0.7950310559006211,0.952,0.8735155279503105,0.8677966101694915,0.9528198757763977,0.9567106436376647,0.08145295152258128,0.018633540372670843,0.0053416149068322705,0.03496503496503497,0.9552238805970149,0.965034965034965,0.04243483788938334
caregiver,adhd,stable_priority,rf_base,11,22,isotonic,precision_guarded,0.505,0.9266058709006845,0.950354609929078,0.8322981366459627,0.944,0.8881490683229813,0.8874172185430463,0.9514285714285713,0.9578582084907357,0.08240169427903525,0.019155279503105582,0.015813664596273203,0.13636363636363635,0.950354609929078,0.8636363636363636,0.04243483788938334
caregiver,adhd,stable_priority,rf_base,29,22,isotonic,precision_guarded,0.505,0.9264751644853294,0.9562043795620438,0.8136645962732919,0.952,0.8828322981366459,0.8791946308724832,0.9498633540372672,0.9548513859252026,0.08521530616198882,0.00494409937888185,0.008708074534161447,0.15034965034965034,0.9562043795620438,0.8496503496503497,0.04243483788938334
caregiver,adhd,stable_priority,rf_base,47,22,isotonic,precision_guarded,0.585,0.9245557569118699,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.950086956521739,0.9522757609003838,0.08194286332155827,0.007577639751552789,0.002472049689440925,0.038461538461538464,0.9552238805970149,0.958041958041958,0.04243483788938334
caregiver,adhd,stable_priority,rf_base,83,22,isotonic,precision_guarded,0.505,0.9206771780946219,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9538633540372671,0.9586846413574455,0.08347644361836985,-0.0017391304347825765,0.004472049689440982,0.10839160839160839,0.9310344827586207,0.8881118881118881,0.04243483788938334
caregiver,adhd,stable_priority,rf_hardened,11,22,isotonic,precision_guarded,0.67,0.9248243324475088,0.9568345323741008,0.8260869565217391,0.952,0.8890434782608696,0.8866666666666667,0.9537888198757764,0.9580961044276977,0.08197815358468924,0.02663354037267074,0.020422360248447236,0.024475524475524476,0.9565217391304348,0.9755244755244755,0.04243483788938334
caregiver,adhd,stable_priority,rf_hardened,29,22,isotonic,precision_guarded,0.44500000000000006,0.9245754412151543,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9550807453416149,0.9593048450849273,0.08270170541816996,0.0018385093167702093,0.0004968944099379424,0.10839160839160839,0.9310344827586207,0.8846153846153846,0.04243483788938334
caregiver,adhd,stable_priority,rf_hardened,47,22,isotonic,precision_guarded,0.505,0.9205196620033322,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9540124223602484,0.9588566372786473,0.08309315524358178,0.0013664596273291751,0.0069192546583850545,0.06293706293706294,0.9370629370629371,0.8706293706293706,0.04243483788938334
caregiver,adhd,stable_priority,rf_hardened,83,22,isotonic,precision_guarded,0.645,0.9228519989189452,0.9562043795620438,0.8136645962732919,0.952,0.8828322981366459,0.8791946308724832,0.9557018633540374,0.9609378578130148,0.08205870241080297,0.019527950310558984,0.011999999999999844,0.03496503496503497,0.9555555555555556,0.9615384615384616,0.04243483788938334
caregiver,adhd,stable_priority,rf_precision,11,22,isotonic,precision_guarded,0.45000000000000007,0.9218490777193693,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9479503105590062,0.9532078335489595,0.08593665000754921,0.029416149068323016,0.009204968944099445,0.15384615384615385,0.95,0.8461538461538461,0.04243483788938334
caregiver,adhd,stable_priority,rf_precision,29,22,isotonic,precision_guarded,0.63,0.9182720297747071,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9485962732919255,0.9552050261906988,0.08682429619576529,0.007577639751552789,0.008472049689440986,0.024475524475524476,0.9558823529411765,0.972027972027972,0.04243483788938334
caregiver,adhd,stable_priority,rf_precision,47,22,isotonic,precision_guarded,0.605,0.9205406968329423,0.9492753623188406,0.8136645962732919,0.944,0.8788322981366459,0.8762541806020067,0.9493664596273292,0.9567006773738127,0.08671988724683236,0.013788819875776293,0.008049689440993713,0.03146853146853147,0.9492753623188406,0.9685314685314685,0.04243483788938334
caregiver,adhd,stable_priority,rf_precision,83,22,isotonic,precision_guarded,0.505,0.9221483597015289,0.9565217391304348,0.8198757763975155,0.952,0.8859378881987577,0.882943143812709,0.9505341614906833,0.9557851991637678,0.08346399454524246,0.005416149068322995,0.01296894409937882,0.12237762237762238,0.9565217391304348,0.8776223776223776,0.04243483788938334
caregiver,adhd,stable_priority,rf_recall,11,22,isotonic,precision_guarded,0.405,0.9321682204751491,0.9366197183098591,0.8260869565217391,0.928,0.8770434782608696,0.8778877887788779,0.9521987577639752,0.9542734732340548,0.08638004494915083,0.012993788819875784,0.0036521739130435105,0.13986013986013987,0.9366197183098591,0.8391608391608392,0.04243483788938334
