input_key,domain,source_instrument_or_origin,source_type,direct_question_yes_no,derivable_yes_no,system_filled_yes_no,missing_allowed_yes_no,caregiver_mode_covered_yes_no,psychologist_mode_covered_yes_no,risk_if_approximated,notes
sdq_peer_problems,adhd|anxiety|depression,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_prosocial_behavior,adhd|anxiety|depression,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sdq_total_difficulties,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
sex_assigned_at_birth,adhd|anxiety|conduct|depression|elimination,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
site,adhd|anxiety|conduct|elimination,master_inference_ready_strict,system_filled,no,no,yes,no,yes,yes,low,
swan_hyperactive_impulsive_total,adhd,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
swan_inattention_total,adhd,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
swan_total,adhd,master_inference_ready_strict,caregiver_report,yes,no,no,no,yes,yes,low,
ysr_aggressive_behavior_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
ysr_anxious_depressed_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
ysr_attention_problems_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
ysr_externalizing_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
ysr_internalizing_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
ysr_rule_breaking_proxy,adhd,master_inference_ready_strict,child_self_report,yes,no,no,yes,yes,yes,high,self_report_requires_admin
