slot_key,domain,role,mode,metric_name,registered_value,recomputed_value,abs_delta,within_tolerance
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,brier,0.04944904219023849,0.04944904219023849,0.0,yes
depression/caregiver/caregiver_1_3,depression,caregiver,caregiver_1_3,threshold,0.62,0.62,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,precision,0.7788461538461539,0.7788461538461539,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,recall,0.9878048780487805,0.9878048780487805,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,specificity,0.9422110552763819,0.9422110552763819,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,balanced_accuracy,0.9650079666625813,0.9650079666625813,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,f1,0.8709677419354839,0.8709677419354839,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,f2,0.9375,0.9375,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,pr_auc,0.8881842844277638,0.8881842844277638,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,roc_auc,0.9845262899865179,0.9845262899865179,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,brier,0.05481272791400382,0.05481272791400382,0.0,yes
depression/caregiver/caregiver_2_3,depression,caregiver,caregiver_2_3,threshold,0.5599999999999999,0.5599999999999999,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,precision,0.7714285714285715,0.7714285714285715,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,recall,0.9878048780487805,0.9878048780487805,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,specificity,0.9396984924623115,0.9396984924623115,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,balanced_accuracy,0.963751685255546,0.963751685255546,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,f1,0.8663101604278075,0.8663101604278075,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,f2,0.9353348729792147,0.9353348729792147,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,pr_auc,0.9070846920149838,0.9070846920149838,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,roc_auc,0.9864566736119622,0.9864566736119622,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,brier,0.0460233269047649,0.0460233269047649,0.0,yes
depression/caregiver/caregiver_full,depression,caregiver,caregiver_full,threshold,0.4665848789491877,0.4665848789491877,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,precision,0.7431192660550459,0.7431192660550459,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,recall,0.9878048780487805,0.9878048780487805,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,specificity,0.9296482412060302,0.9296482412060302,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,balanced_accuracy,0.9587265596274053,0.9587265596274053,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,f1,0.8481675392670157,0.8481675392670157,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,f2,0.9267734553775744,0.9267734553775744,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,pr_auc,0.900915479146274,0.900915479146274,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,roc_auc,0.980113984556931,0.980113984556931,0.0,yes
depression/psychologist/psychologist_1_3,depression,psychologist,psychologist_1_3,brier,0.053260387445347265,0.053260387445347265,0.0,yes
