domain,role,feature,ranking_position,ranking_score,impurity_mean,impurity_std,permutation_mean,permutation_std,feature_label_human,questionnaire_section_suggested
conduct,psychologist,conduct_lpe_04_shallow_deficient_affect,16,0.008875554149606042,0.014792590249343405,0.004448603939187978,0.0,0.0,Conduct lpe 04 shallow deficient affect,por_confirmar
conduct,psychologist,conduct_10_breaks_into_house_building_car,17,0.008428824416615006,0.014048040694358343,0.0009732311594186452,0.0,0.0,Conduct 10 breaks into house building car,por_confirmar
conduct,psychologist,conduct_04_physical_cruelty_people,18,0.0050717347062544825,0.008452891177090804,0.0015481480445949764,0.0,0.0,Conduct 04 physical cruelty people,por_confirmar
conduct,psychologist,conduct_lpe_03_unconcerned_performance,19,0.0028208895473541087,0.004701482578923515,0.001586286727689836,0.0,0.0,Conduct lpe 03 unconcerned performance,por_confirmar
conduct,psychologist,conduct_lpe_01_lack_remorse_guilt,20,0.0026810620996042932,0.004468436832673822,0.0009695369252454277,0.0,0.0,Conduct lpe 01 lack remorse guilt,por_confirmar
conduct,psychologist,age_years,21,0.0019362032021738116,0.003227005336956353,8.010629996584685e-05,0.0,0.0,Edad en años cumplidos,Datos básicos
conduct,psychologist,conduct_onset_before_10,22,0.000925325095967057,0.0015422084932784283,0.0003052845642158301,0.0,0.0,Conduct onset before 10,por_confirmar
conduct,psychologist,conduct_no_antisocial_personality_if_18plus,23,0.0,0.0,0.0,0.0,0.0,Conduct no antisocial personality if 18plus,por_confirmar
elimination,caregiver,enuresis_duration_months_consecutive,1,0.5062817443304047,0.4106601251685863,0.046445221050207,0.2221423436376708,0.15762041696621135,Enuresis duration months consecutive,por_confirmar
elimination,caregiver,encopresis_event_frequency_per_month,2,0.1598661538877858,0.08916518781547322,0.004500867017678977,0.09091930265995685,0.0043808411214953935,Encopresis event frequency per month,por_confirmar
elimination,caregiver,enuresis_nocturnal,3,0.11317967173963098,0.16988429202591546,0.03230114040438479,0.009615384615384581,0.0,Enuresis nocturnal,por_confirmar
elimination,caregiver,enuresis_primary_course,4,0.10178774267891637,0.16964623779819396,0.006691207868320062,0.0,0.0,Enuresis primary course,por_confirmar
elimination,caregiver,encopresis_duration_months_consecutive,5,0.04018815699518449,0.04823176745183799,0.001133871406168231,0.009615384615384581,0.009615384615384581,Encopresis duration months consecutive,por_confirmar
elimination,caregiver,enuresis_secondary_course,6,0.03215052043715046,0.03483570652178125,0.006629973552823474,0.009615384615384581,0.0,Enuresis secondary course,por_confirmar
elimination,caregiver,enuresis_diurnal,7,0.02753252199008258,0.04588753665013763,0.011500364309567685,0.0,0.0,Enuresis diurnal,por_confirmar
elimination,caregiver,encopresis_visible_deposition_pattern,8,0.01468925400797653,0.024482090013294218,0.001280488805619006,0.0,0.0,Encopresis visible deposition pattern,por_confirmar
elimination,caregiver,encopresis_constipation_present,9,0.004324233932868032,0.007207056554780053,0.0017717675974703764,0.0,0.0,Encopresis constipation present,por_confirmar
elimination,psychologist,enuresis_duration_months_consecutive,1,0.42496388760815373,0.3750048026068177,0.038751575446238445,0.11520488856937458,0.058860531991373116,Enuresis duration months consecutive,por_confirmar
elimination,psychologist,encopresis_event_frequency_per_month,2,0.20200762267243647,0.07451000737210842,0.014507254870208429,0.09062724658519056,0.002920560747663614,Encopresis event frequency per month,por_confirmar
elimination,psychologist,enuresis_primary_course,3,0.11878861489628569,0.19544641769124882,0.040081903864971714,0.0008761682242990898,0.0008761682242990898,Enuresis primary course,por_confirmar
elimination,psychologist,enuresis_nocturnal,4,0.11542712171653093,0.17762582286478412,0.007206167150173187,0.005099748382458719,0.005099748382458719,Enuresis nocturnal,por_confirmar
elimination,psychologist,encopresis_duration_months_consecutive,5,0.05466574345723057,0.04938603957630991,0.0031800446128950654,0.014423076923076872,0.014423076923076872,Encopresis duration months consecutive,por_confirmar
elimination,psychologist,enuresis_diurnal,6,0.030607619498210347,0.051012699163683915,0.0034602156049202645,-0.0005841121495326895,0.0005841121495326895,Enuresis diurnal,por_confirmar
elimination,psychologist,enuresis_secondary_course,7,0.029050070300316918,0.036198677640321524,0.011291464478407273,0.004223580158159601,0.004223580158159601,Enuresis secondary course,por_confirmar
elimination,psychologist,encopresis_visible_deposition_pattern,8,0.01645972137186792,0.0274328689531132,0.012182028790444069,0.0,0.0,Encopresis visible deposition pattern,por_confirmar
elimination,psychologist,encopresis_constipation_present,9,0.0042367989207282575,0.007061331534547096,0.001130649036572491,0.0,0.0,Encopresis constipation present,por_confirmar
elimination,psychologist,encopresis_overflow_incontinence,10,0.003091648883883009,0.005152748139805015,0.00037285129865333286,0.0,0.0,Encopresis overflow incontinence,por_confirmar
elimination,psychologist,enuresis_not_due_substance_medical,11,0.0005105185663912784,0.0008508642773187975,0.0002899013208822804,0.0,0.0,Enuresis not due substance medical,por_confirmar
elimination,psychologist,encopresis_not_due_substance_medical,12,0.00019063210796491843,0.0003177201799415307,0.00011300740542718162,0.0,0.0,Encopresis not due substance medical,por_confirmar
anxiety,caregiver,sep_anx_impairment,1,0.259285304315182,0.15243823930468112,0.017276455094282796,0.023838684925038295,0.0003172588832487111,Sep anx impairment,por_confirmar
anxiety,caregiver,sep_anx_duration_weeks,2,0.13844756155093263,0.09647765907105828,0.0042095819804488345,0.011443454137645998,0.007267441860465101,Sep anx duration weeks,por_confirmar
anxiety,caregiver,agor_escape_help_cognition,3,0.07159847732532622,0.09855427301266942,0.0011778223950885682,0.0017707472553416814,0.0011362294888442592,Agor escape help cognition,por_confirmar
anxiety,caregiver,age_years,4,0.056859743554372295,0.024991751095577372,0.0035409875326560558,0.005946759532522605,0.001136229488844287,Edad en años cumplidos,Datos básicos
anxiety,caregiver,gad_duration_months,5,0.045589459715537406,0.07598243285922901,0.002681170377932198,-0.007584700743713868,0.004043206233030339,Gad duration months,por_confirmar
anxiety,caregiver,gad_assoc_06_sleep_problems,6,0.0359462995221361,0.03324729529064832,0.009128429976118995,0.002272458977688574,0.002272458977688574,Gad assoc 06 sleep problems,por_confirmar
anxiety,caregiver,gad_difficulty_controlling_worry,7,0.03217846184165441,0.05363076973609068,0.006377113985939809,-0.0032242356274348183,0.0038587533939322405,Gad difficulty controlling worry,por_confirmar
anxiety,caregiver,agor_fear_05_outside_home_alone,8,0.026745873331634105,0.010468331066725671,0.005318726000746731,0.0029069767441860517,0.0029069767441860517,Agor fear 05 outside home alone,por_confirmar
anxiety,caregiver,agor_avoid_or_need_companion,9,0.025956907275627397,0.020320768499676817,0.00215930643427994,0.001955200094439835,0.0038587533939322682,Agor avoid or need companion,por_confirmar
anxiety,caregiver,social_anxiety_duration_months,10,0.024361122530328256,0.040601870883880425,0.0063719098208700415,-0.0020880061385905035,0.0008189706055955481,Social anxiety duration months,por_confirmar
anxiety,caregiver,sep_anx_03_worry_event_causing_separation,11,0.021456741925622677,0.009098032629792623,0.0002051556452589024,0.002272458977688574,0.002272458977688574,Sep anx 03 worry event causing separation,por_confirmar
anxiety,caregiver,gad_assoc_03_concentration_difficulty,12,0.020136977326972373,0.006898424965375452,0.001443787017885073,0.002272458977688574,0.0035414945106835294,Gad assoc 03 concentration difficulty,por_confirmar
anxiety,caregiver,social_anxiety_fear_negative_evaluation,13,0.019478592562583427,0.03246432093763905,0.006329250113539371,-0.0014534883720930258,0.0043604651162790775,Social anxiety fear negative evaluation,por_confirmar
anxiety,caregiver,gad_assoc_05_muscle_tension,14,0.019231309470669394,0.03205218245111566,0.0015426956669256642,-0.0015862944162436943,0.00031725888324873885,Gad assoc 05 muscle tension,por_confirmar
anxiety,caregiver,sep_anx_07_separation_nightmares,15,0.019034439205494424,0.02583738395912078,0.0036242699410745567,0.0005017117223468093,0.0017707472553417647,Sep anx 07 separation nightmares,por_confirmar
anxiety,caregiver,sep_anx_05_fear_being_alone_without_attachment,16,0.01878528009180954,0.01797719819656031,0.005081136751404383,0.0011362294888442592,0.0024052650218392146,Sep anx 05 fear being alone without attachment,por_confirmar
anxiety,caregiver,gad_impairment,17,0.018726872162861695,0.031211453604769495,0.007619870805598368,-0.00031725888324873885,0.00031725888324873885,Gad impairment,por_confirmar
anxiety,caregiver,agor_fear_04_crowds_queues,18,0.013296683622216018,0.02216113937036003,0.0010853555711876157,-0.0011362294888443147,0.0011362294888443147,Agor fear 04 crowds queues,por_confirmar
anxiety,caregiver,sep_anx_04_refuses_leaving_home_school,19,0.012705592513018341,0.01528930613832731,0.00709016690750199,0.0005017117223468093,0.0024052650218392424,Sep anx 04 refuses leaving home school,por_confirmar
anxiety,caregiver,gad_assoc_02_fatigue,20,0.010905796614174632,0.018176327690291053,0.013935151287701808,-0.0006345177664974777,0.0006345177664974777,Gad assoc 02 fatigue,por_confirmar
anxiety,caregiver,gad_assoc_01_restlessness,21,0.010220687488455452,0.017034479147425754,0.0038715841678617848,-0.0024052650218392424,0.0017707472553417647,Gad assoc 01 restlessness,por_confirmar
anxiety,caregiver,agor_almost_always_triggered,22,0.0095582360005602,0.015930393334267,0.006593260177579061,-0.0019035532994924331,0.0006345177664974777,Agor almost always triggered,por_confirmar
anxiety,caregiver,sep_anx_08_physical_complaints_on_separation,23,0.00832947990249404,0.013882466504156735,0.001465362499097982,-0.0005017117223468925,0.0011362294888443147,Sep anx 08 physical complaints on separation,por_confirmar
anxiety,caregiver,agor_fear_01_public_transport,24,0.007734256275267488,0.012890427125445813,0.00011484016401994661,-0.0038587533939322682,0.0038587533939322682,Agor fear 01 public transport,por_confirmar
anxiety,caregiver,sep_anx_06_refuses_sleep_away_or_alone,25,0.007569426921030625,0.012615711535051042,0.0020345005092960605,-0.0014534883720930258,0.0014534883720930258,Sep anx 06 refuses sleep away or alone,por_confirmar
anxiety,caregiver,gad_assoc_04_irritability,26,0.007356455970512585,0.012260759950854308,0.002048072141605122,-0.004176012277181007,0.0035414945106835294,Gad assoc 04 irritability,por_confirmar
anxiety,caregiver,social_anxiety_fear_being_observed,27,0.006850020025865174,0.011416700043108623,0.004199151601113624,-0.0006345177664974777,0.0006345177664974777,Social anxiety fear being observed,por_confirmar
anxiety,caregiver,gad_excessive_worry_multiple_areas,28,0.0062346600878361354,0.010391100146393559,0.003877090942632656,-0.00031725888324873885,0.00031725888324873885,Gad excessive worry multiple areas,por_confirmar
anxiety,caregiver,agor_fear_03_enclosed_spaces,29,0.005362765931461078,0.008937943219101796,0.002025546670065316,-0.0014534883720930258,0.0014534883720930258,Agor fear 03 enclosed spaces,por_confirmar
anxiety,caregiver,social_anxiety_impairment,30,0.00523187450352709,0.008719790839211816,0.0035695677504092617,-0.0006345177664974777,0.0,Social anxiety impairment,por_confirmar
