mode,domain,ablation,k,removed_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_ba,delta_pr_auc
psychologist_2_3,depression,drop_topk,3,mdd_duration_weeks|mdd_impairment|pdd_duration_months_child,0.7472527472527473,0.8292682926829268,0.8857396739796544,0.7892912383169395,0.05440109952156072,-0.005208971687706843,-0.0437496177402249
psychologist_full,adhd,baseline,0,,0.9294117647058824,0.8404255319148937,0.9124407452320582,0.9271313857162289,0.030232934405216873,,
psychologist_full,adhd,drop_topk,1,eng_adhd_core_mean,0.9210526315789473,0.7446808510638298,0.8645684048065263,0.9186079388886252,0.0371734237172623,-0.0478723404255319,-0.008523446827603642
psychologist_full,adhd,drop_topk,3,eng_adhd_core_mean|adhd_not_better_explained_other_mental|adhd_onset_before_12,0.6218487394957983,0.7872340425531915,0.8353268658361812,0.6625231823777222,0.0920018782517214,-0.077113879395877,-0.26460820333850665
psychologist_full,conduct,baseline,0,,1.0,0.99375,0.996875,1.0,0.001248309268289031,,
psychologist_full,conduct,drop_topk,1,conduct_impairment_global,0.9230769230769231,0.825,0.8953125,0.9395409327755155,0.0596594991273492,-0.1015625,-0.060459067224484464
psychologist_full,conduct,drop_topk,3,conduct_impairment_global|eng_conduct_core_mean|eng_externalizing_index,0.9280575539568345,0.80625,0.8875,0.9301916328994149,0.06016305822689388,-0.109375,-0.06980836710058513
psychologist_full,elimination,baseline,0,,0.9433962264150944,0.9615384615384616,0.9772645578720345,0.9734743104312084,0.009137193084548053,,
psychologist_full,elimination,drop_topk,1,enuresis_distress_impairment,0.9142857142857143,0.6153846153846154,0.8041876347951115,0.9034776470901689,0.02291119893331554,-0.17307692307692302,-0.06999666334103949
psychologist_full,elimination,drop_topk,3,enuresis_distress_impairment|eng_elimination_intensity|enuresis_event_frequency_per_week,0.7424242424242424,0.9423076923076923,0.9512940330697339,0.7505432653089682,0.029783845937250638,-0.025970524802300554,-0.22293104512224016
psychologist_full,anxiety,baseline,0,,0.9156626506024096,0.8837209302325582,0.9329772163853146,0.9442183163908962,0.026760853373639037,,
psychologist_full,anxiety,drop_topk,1,sep_anx_impairment,0.8977272727272727,0.9186046511627907,0.947881005784441,0.9200464244251039,0.030906235144907302,0.0149037893991264,-0.02417189196579228
psychologist_full,anxiety,drop_topk,3,sep_anx_impairment|agor_escape_help_cognition|sep_anx_duration_weeks,0.8494623655913979,0.9186046511627907,0.9415358281194663,0.9381976209229631,0.03101367392976822,0.008558611734151733,-0.006020695467933046
psychologist_full,depression,baseline,0,,0.8375,0.8170731707317073,0.8922049270743964,0.9406015747168404,0.03915955565824783,,
psychologist_full,depression,drop_topk,1,eng_depression_core_mean,0.8372093023255814,0.8780487804878049,0.92143645054541,0.9433624360747275,0.03795290422490185,0.029231523471013654,0.002760861357887112
psychologist_full,depression,drop_topk,3,eng_depression_core_mean|eng_internalizing_index|mdd_duration_weeks,0.7894736842105263,0.9146341463414634,0.9321914450300282,0.9404034928752212,0.03809844946023064,0.039986517955631795,-0.00019808184161917985
