feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,selection_rationale,questionnaire_section_suggested,questionnaire_subsection_suggested,needs_human_question_text,notes
conduct_01_bullies_threatens_intimidates,Conduct 01 bullies threatens intimidates,Input for core_15_symptoms - Conduct 01 bullies threatens intimidates,dsm5,Conduct,Conduct,core_15_symptoms,A1,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,19.0,19.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_02_initiates_fights,Conduct 02 initiates fights,Input for core_15_symptoms - Conduct 02 initiates fights,dsm5,Conduct,Conduct,core_15_symptoms,A2,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,20.0,20.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_03_weapon_use,Conduct 03 weapon use,Input for core_15_symptoms - Conduct 03 weapon use,dsm5,Conduct,Conduct,core_15_symptoms,A3,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,21.0,21.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_04_physical_cruelty_people,Conduct 04 physical cruelty people,Input for core_15_symptoms - Conduct 04 physical cruelty people,dsm5,Conduct,Conduct,core_15_symptoms,A4,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,22.0,22.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_05_physical_cruelty_animals,Conduct 05 physical cruelty animals,Input for core_15_symptoms - Conduct 05 physical cruelty animals,dsm5,Conduct,Conduct,core_15_symptoms,A5,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,23.0,23.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_06_steals_confronting_victim,Conduct 06 steals confronting victim,Input for core_15_symptoms - Conduct 06 steals confronting victim,dsm5,Conduct,Conduct,core_15_symptoms,A6,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,24.0,24.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_07_forced_sex,Conduct 07 forced sex,Input for core_15_symptoms - Conduct 07 forced sex,dsm5,Conduct,Conduct,core_15_symptoms,A7,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,25.0,25.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_08_fire_setting,Conduct 08 fire setting,Input for core_15_symptoms - Conduct 08 fire setting,dsm5,Conduct,Conduct,core_15_symptoms,A8,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,26.0,26.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_09_property_destruction,Conduct 09 property destruction,Input for core_15_symptoms - Conduct 09 property destruction,dsm5,Conduct,Conduct,core_15_symptoms,A9,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,27.0,27.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_10_breaks_into_house_building_car,Conduct 10 breaks into house building car,Input for core_15_symptoms - Conduct 10 breaks into house building car,dsm5,Conduct,Conduct,core_15_symptoms,A10,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,28.0,28.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_11_lies_to_obtain_or_avoid,Conduct 11 lies to obtain or avoid,Input for core_15_symptoms - Conduct 11 lies to obtain or avoid,dsm5,Conduct,Conduct,core_15_symptoms,A11,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,29.0,29.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_12_steals_without_confrontation,Conduct 12 steals without confrontation,Input for core_15_symptoms - Conduct 12 steals without confrontation,dsm5,Conduct,Conduct,core_15_symptoms,A12,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,30.0,30.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_13_stays_out_at_night_before_13,Conduct 13 stays out at night before 13,Input for core_15_symptoms - Conduct 13 stays out at night before 13,dsm5,Conduct,Conduct,core_15_symptoms,A13,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,31.0,31.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_14_runs_away_overnight,Conduct 14 runs away overnight,Input for core_15_symptoms - Conduct 14 runs away overnight,dsm5,Conduct,Conduct,core_15_symptoms,A14,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,32.0,32.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_15_truancy_before_13,Conduct 15 truancy before 13,Input for core_15_symptoms - Conduct 15 truancy before 13,dsm5,Conduct,Conduct,core_15_symptoms,A15,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,33.0,33.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_aggression_count,Conduct aggression count,Input for derived - Conduct aggression count,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_deceit_theft_count,Conduct deceit theft count,Input for derived - Conduct deceit theft count,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_destruction_count,Conduct destruction count,Input for derived - Conduct destruction count,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_final_dsm5_threshold_met,Conduct final dsm5 threshold met,Input for derived - Conduct final dsm5 threshold met,dsm5,Conduct,Conduct,derived,A-C,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,target_or_label,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_impairment_global,Conduct impairment global,Input for impairment - Conduct impairment global,dsm5,Conduct,Conduct,impairment,B,dsm5,dsm5,impairment_item,impairment_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,71.0,71.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_lpe_01_lack_remorse_guilt,Conduct lpe 01 lack remorse guilt,Input for limited_prosocial_emotions - Conduct lpe 01 lack remorse guilt,dsm5,Conduct,Conduct,limited_prosocial_emotions,specifier_LPE,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,138.0,164.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa specifier; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_lpe_02_callous_lack_empathy,Conduct lpe 02 callous lack empathy,Input for limited_prosocial_emotions - Conduct lpe 02 callous lack empathy,dsm5,Conduct,Conduct,limited_prosocial_emotions,specifier_LPE,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,139.0,165.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa specifier; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_lpe_03_unconcerned_performance,Conduct lpe 03 unconcerned performance,Input for limited_prosocial_emotions - Conduct lpe 03 unconcerned performance,dsm5,Conduct,Conduct,limited_prosocial_emotions,specifier_LPE,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,140.0,166.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa specifier; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_lpe_04_shallow_deficient_affect,Conduct lpe 04 shallow deficient affect,Input for limited_prosocial_emotions - Conduct lpe 04 shallow deficient affect,dsm5,Conduct,Conduct,limited_prosocial_emotions,specifier_LPE,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,141.0,167.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa specifier; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_lpe_count,Conduct lpe count,Input for derived - Conduct lpe count,dsm5,Conduct,Conduct,derived,specifier_LPE,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_lpe_threshold_met,Conduct lpe threshold met,Input for derived - Conduct lpe threshold met,dsm5,Conduct,Conduct,derived,specifier_LPE,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_no_antisocial_personality_if_18plus,Conduct no antisocial personality if 18plus,Input for exclusion - Conduct no antisocial personality if 18plus,dsm5,Conduct,Conduct,exclusion,C,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,system,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,180.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 low; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
conduct_onset_before_10,Conduct onset before 10,Input for history - Conduct onset before 10,dsm5,Conduct,Conduct,history,specifier,dsm5,dsm5,history_flag,history_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,133.0,152.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
conduct_recent_6m_count,Conduct recent 6m count,Input for derived - Conduct recent 6m count,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_serious_rule_violation_count,Conduct serious rule violation count,Input for derived - Conduct serious rule violation count,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_symptom_count_12m,Conduct symptom count 12m,Input for derived - Conduct symptom count 12m,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
conduct_threshold_met,Conduct threshold met,Input for derived - Conduct threshold met,dsm5,Conduct,Conduct,derived,A,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
dmdd_age_6_to_18,Dmdd age 6 to 18,Input for dmdd - Dmdd age 6 to 18,dsm5,Depression,Depression,dmdd,DMDD_G,dsm5,por_confirmar,age_gate,age_gate,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
dmdd_context_count,Dmdd context count,Input for dmdd - Dmdd context count,dsm5,Depression,Depression,dmdd,DMDD_F,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
dmdd_context_home,Dmdd context home,Input for dmdd - Dmdd context home,dsm5,Depression,Depression,dmdd,DMDD_F,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,134.0,153.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_context_peers,Dmdd context peers,Input for dmdd - Dmdd context peers,dsm5,Depression,Depression,dmdd,DMDD_F,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,135.0,154.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_context_school,Dmdd context school,Input for dmdd - Dmdd context school,dsm5,Depression,Depression,dmdd,DMDD_F,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,136.0,155.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_developmentally_inappropriate,Dmdd developmentally inappropriate,Input for dmdd - Dmdd developmentally inappropriate,dsm5,Depression,Depression,dmdd,DMDD_B,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,173.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
dmdd_duration_months,Dmdd duration months,Input for dmdd - Dmdd duration months,dsm5,Depression,Depression,dmdd,DMDD_E,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,87.0,87.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_irritable_between_outbursts,Dmdd irritable between outbursts,Input for dmdd - Dmdd irritable between outbursts,dsm5,Depression,Depression,dmdd,DMDD_D,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,34.0,34.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_no_mania_hypomania,Dmdd no mania hypomania,Input for dmdd - Dmdd no mania hypomania,dsm5,Depression,Depression,dmdd,DMDD_I,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,127.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
dmdd_no_substance_medical,Dmdd no substance medical,Input for dmdd - Dmdd no substance medical,dsm5,Depression,Depression,dmdd,DMDD_K,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,128.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
dmdd_not_better_explained,Dmdd not better explained,Input for dmdd - Dmdd not better explained,dsm5,Depression,Depression,dmdd,DMDD_J,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,129.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
dmdd_one_setting_severe,Dmdd one setting severe,Input for dmdd - Dmdd one setting severe,dsm5,Depression,Depression,dmdd,DMDD_F,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
dmdd_onset_before_10,Dmdd onset before 10,Input for dmdd - Dmdd onset before 10,dsm5,Depression,Depression,dmdd,DMDD_H,dsm5,dsm5,history_flag,history_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,88.0,88.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_outbursts_frequency_per_week,Dmdd outbursts frequency per week,Input for dmdd - Dmdd outbursts frequency per week,dsm5,Depression,Depression,dmdd,DMDD_C,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,35.0,35.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_outbursts_severity,Dmdd outbursts severity,Input for dmdd - Dmdd outbursts severity,dsm5,Depression,Depression,dmdd,DMDD_A,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,si,si,101.0,101.0,baja,media,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
dmdd_threshold_met,Dmdd threshold met,Input for dmdd - Dmdd threshold met,dsm5,Depression,Depression,dmdd,DMDD_A-K,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
elimination_any_threshold_met,Elimination any threshold met,Input for derived - Elimination any threshold met,dsm5,Elimination,Elimination,derived,domain,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,target_or_label,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
elimination_type_code,Elimination type code,Input for derived - Elimination type code,dsm5,Elimination,Elimination,derived,domain,dsm5,por_confirmar,category_int,category_int,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
encopresis_age_ge_4,Encopresis age ge 4,Input for encopresis - Encopresis age ge 4,dsm5,Elimination,Elimination,encopresis,encopresis_C,dsm5,por_confirmar,age_gate,age_gate,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
encopresis_constipation_present,Encopresis constipation present,Input for encopresis - Encopresis constipation present,dsm5,Elimination,Elimination,encopresis,specifier,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,142.0,168.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa subtype; respondible por ambos roles,por_confirmar,por_confirmar,si,
encopresis_duration_months_consecutive,Encopresis duration months consecutive,Input for encopresis - Encopresis duration months consecutive,dsm5,Elimination,Elimination,encopresis,encopresis_B,dsm5,dsm5,duration_item,duration_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,89.0,89.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
encopresis_event_frequency_per_month,Encopresis event frequency per month,Input for encopresis - Encopresis event frequency per month,dsm5,Elimination,Elimination,encopresis,encopresis_B,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,36.0,36.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
encopresis_not_due_substance_medical,Encopresis not due substance medical,Input for encopresis - Encopresis not due substance medical,dsm5,Elimination,Elimination,encopresis,encopresis_D,dsm5,dsm5,exclusion_flag,exclusion_flag,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,130.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 high; capa clinician_gate; solo psicólogo,por_confirmar,por_confirmar,si,
encopresis_overflow_incontinence,Encopresis overflow incontinence,Input for encopresis - Encopresis overflow incontinence,dsm5,Elimination,Elimination,encopresis,specifier,dsm5,dsm5,specifier_item,specifier_item,model_input,direct_psychologist_only,psychologist_only,psychologist,caregiver_or_psychologist,no,si,no,si,no,si,no,no,no,no,no,no,si,,174.0,no_aplica,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa subtype; solo psicólogo,por_confirmar,por_confirmar,si,
encopresis_threshold_met,Encopresis threshold met,Input for derived - Encopresis threshold met,dsm5,Elimination,Elimination,derived,encopresis_A-D,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
encopresis_visible_deposition_pattern,Encopresis visible deposition pattern,Input for encopresis - Encopresis visible deposition pattern,dsm5,Elimination,Elimination,encopresis,pattern,dsm5,dsm5,pattern_item,pattern_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,145.0,177.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 low; capa pattern; respondible por ambos roles,por_confirmar,por_confirmar,si,
enuresis_age_ge_5,Enuresis age ge 5,Input for enuresis - Enuresis age ge 5,dsm5,Elimination,Elimination,enuresis,enuresis_C,dsm5,por_confirmar,age_gate,age_gate,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
