domain,mode,weight_policy,best_ba,best_f1,best_pr_auc,best_selection
depression,caregiver_full,combined_aggressive,0.9443865669812477,0.872093023255814,0.9298059657004891,0.8645908821159856
depression,psychologist_1_3,mode_fragile,0.8939821056502022,0.7717391304347826,0.8306482193217724,0.846446231017377
depression,psychologist_1_3,none,0.9362973403603383,0.7912087912087912,0.8363992452445465,0.8448429275805791
depression,psychologist_1_3,cost_asym,0.8855558279200882,0.770949720670391,0.8323803300676447,0.8430046316589895
depression,psychologist_1_3,class_minor_boost,0.9300159333251624,0.7978723404255319,0.8442963320017358,0.8379558890014218
depression,psychologist_full,mode_fragile,0.9517404093638926,0.8715083798882681,0.9385846652557591,0.8926934097822828
depression,psychologist_full,none,0.9517404093638926,0.8715083798882681,0.9447446690400584,0.8926934097822828
depression,psychologist_full,cost_asym,0.9517404093638926,0.8715083798882681,0.9400631744594041,0.8923935682243854
depression,psychologist_full,combined_aggressive,0.9384728520652041,0.872093023255814,0.9368863183218724,0.88193136740461
depression,psychologist_full,class_minor_boost,0.9442027209216816,0.896969696969697,0.9523834873031465,0.8798249351496903
elimination,caregiver_1_3,none,0.9813084112149533,0.897196261682243,0.964628713396672,0.9083168981310024
elimination,caregiver_1_3,class_minor_boost,0.9813084112149533,0.8869565217391304,0.9564071034403852,0.897515481238378
elimination,caregiver_1_3,combined_aggressive,0.9801401869158879,0.8793103448275862,0.9640524413480356,0.8965785125038176
elimination,caregiver_1_3,cost_asym,0.9813084112149533,0.8666666666666667,0.9506237853208,0.8832627869951553
elimination,caregiver_1_3,mode_fragile,0.9801401869158879,0.8620689655172413,0.9519656451837847,0.8832627869951553
elimination,caregiver_2_3,cost_asym,0.9988317757009346,0.9904761904761905,1.0,0.953766355140187
elimination,caregiver_2_3,mode_fragile,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.953766355140187
elimination,caregiver_2_3,none,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.953766355140187
elimination,caregiver_2_3,combined_aggressive,0.9976635514018692,0.9811320754716981,0.9992673328123256,0.947766355140187
elimination,caregiver_2_3,class_minor_boost,0.9964953271028038,0.9719626168224299,0.9996371552975329,0.9476495327102804
elimination,caregiver_full,cost_asym,0.9976635514018692,0.9811320754716981,0.9996371552975328,0.953766355140187
elimination,caregiver_full,mode_fragile,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.953766355140187
elimination,caregiver_full,none,0.9988317757009346,0.9904761904761905,1.0000000000000002,0.953766355140187
