input_key,domains_used,type_tags,instrument_or_source,caregiver_direct_yes_no,psychologist_admin_yes_no,must_be_self_report_yes_no,derived_from_items_yes_no,system_filled_yes_no,caregiver_answerable_yes_no,psychologist_answerable_yes_no,presence_flag_yes_no
cbcl_aggressive_behavior_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
cbcl_anxious_depressed_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
cbcl_attention_problems_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
cbcl_externalizing_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
cbcl_internalizing_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
cbcl_rule_breaking_proxy,adhd;conduct;elimination;anxiety;depression,derived|caregiver_answerable|psychologist_answerable,CBCL,no,no,no,si,no,si,si,no
conners_cognitive_problems,adhd,direct_question|child_self_report_only|psychologist_answerable,CONNERS,no,si,si,no,no,no,si,no
conners_conduct_problems,adhd,direct_question|child_self_report_only|psychologist_answerable,CONNERS,no,si,si,no,no,no,si,no
conners_hyperactivity,adhd,direct_question|child_self_report_only|psychologist_answerable,CONNERS,no,si,si,no,no,no,si,no
conners_total,adhd,derived|child_self_report_only|psychologist_answerable,CONNERS,no,no,si,si,no,no,si,no
has_ari_p,conduct,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_ari_sr,conduct,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_cbcl,adhd;conduct;elimination;anxiety;depression,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_conners,adhd,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_icut,conduct,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_scared_p,anxiety,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_scared_sr,anxiety,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_sdq,adhd;conduct;elimination;anxiety;depression,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_swan,adhd,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
has_ysr,adhd,presence_flag|caregiver_answerable|psychologist_answerable,PRESENCE_FLAG,si,si,no,no,no,si,si,si
icut_total,conduct,derived|caregiver_answerable|psychologist_answerable,ICUT,no,no,no,si,no,si,si,no
mfq_p_total,depression,derived|caregiver_answerable|psychologist_answerable,MFQ_P,no,no,no,si,no,si,si,no
release,adhd;conduct;elimination;anxiety,system_filled|caregiver_answerable|psychologist_answerable,SYSTEM_RUNTIME,no,no,no,no,si,si,si,no
scared_p_01,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_02,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_03,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_04,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_05,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_06,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_07,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_08,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_09,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_10,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_11,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_12,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_13,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_14,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_15,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_16,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_17,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_18,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_19,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_20,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_21,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_22,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_23,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_24,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_25,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_26,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_27,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_28,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_29,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_30,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_31,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_32,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_33,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_34,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_35,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_36,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_37,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_38,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_39,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_40,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
scared_p_41,anxiety,direct_question|caregiver_answerable|psychologist_answerable,SCARED_P,si,si,no,no,no,si,si,no
