mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261101,none,0.029913820801799086,0.027006305179589945
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261101,sigmoid,0.0308887126776013,0.04586045187555885
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261101,isotonic,0.02477999533223884,7.729166666734078e-07
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261119,none,0.03059286993006512,0.030181021801563002
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261119,sigmoid,0.03136178789481924,0.04450918670058386
caregiver_2_3,anxiety,stability_pruned_subset,rf_pos_weight_mid,20261119,isotonic,0.02515066964360714,7.49999999971155e-07
caregiver_2_3,depression,full_eligible,rf_precision_push,20261101,none,0.03915015341046415,0.038834231705541726
caregiver_2_3,depression,full_eligible,rf_precision_push,20261101,sigmoid,0.04081210559819023,0.048444321685457856
caregiver_2_3,depression,full_eligible,rf_precision_push,20261101,isotonic,0.03250639619959082,7.604166666673856e-07
caregiver_2_3,depression,full_eligible,rf_precision_push,20261119,none,0.03888098336180912,0.033397905293279496
caregiver_2_3,depression,full_eligible,rf_precision_push,20261119,sigmoid,0.04031450846669696,0.04716939719333661
caregiver_2_3,depression,full_eligible,rf_precision_push,20261119,isotonic,0.03089765528163105,7.520833333166443e-07
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261101,none,0.04294523440134883,0.02854788195284193
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261101,sigmoid,0.04318371519645947,0.040520123710717795
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261101,isotonic,0.03596733219336322,7.020833333384469e-07
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261119,none,0.04270353657925729,0.02771185237270146
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261119,sigmoid,0.043309084449384375,0.03990285282949605
caregiver_2_3,depression,engineered_pruned,rf_precision_push,20261119,isotonic,0.03699478329630881,7.124999999708816e-07
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261101,none,0.0522569930841982,0.05061575168313123
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261101,sigmoid,0.05276019474125328,0.04902102717893981
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261101,isotonic,0.045253057242098424,6.833333333640781e-07
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261119,none,0.052107140642169494,0.04443580297478196
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261119,sigmoid,0.051981111871248736,0.05296255759375248
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,20261119,isotonic,0.04401627886070803,6.791666666905777e-07
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261101,none,0.050782548331277454,0.04205245742366313
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261101,sigmoid,0.05242549824683517,0.05846329469242324
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261101,isotonic,0.04498775398839358,6.395833333575326e-07
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261119,none,0.05071117866206493,0.03467297666546324
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261119,sigmoid,0.05289705161399308,0.04710286869782662
caregiver_full,adhd,engineered_full,rf_pos_weight_mid,20261119,isotonic,0.0444667969356777,6.60416666688842e-07
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261101,none,0.010698504380113213,0.04951412744711793
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261101,sigmoid,0.0070219362991835845,0.04441783565605034
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261101,isotonic,0.0028645833343124995,9.791666666407869e-07
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261119,none,0.00999456054925448,0.0447992184577738
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261119,sigmoid,0.006185566953404529,0.04170641099354997
caregiver_full,conduct,engineered_compact,rf_recall_guard,20261119,isotonic,0.0028645833343124995,9.791666666407869e-07
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261101,none,0.012207938828865434,0.052096893526825755
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261101,sigmoid,0.00703485008961102,0.04321533637769011
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261101,isotonic,0.002827380953362202,9.81250000045882e-07
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261119,none,0.010985941608811584,0.047658162684590534
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261119,sigmoid,0.006515061286927454,0.043031091536773425
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,20261119,isotonic,0.0028645833343124995,9.791666666407869e-07
caregiver_full,elimination,engineered_compact,rf_baseline,20261101,none,0.01211834169568504,0.028457469829244835
caregiver_full,elimination,engineered_compact,rf_baseline,20261101,sigmoid,0.011023632684528061,0.03873902536824311
caregiver_full,elimination,engineered_compact,rf_baseline,20261101,isotonic,0.00560897435993894,9.645833333377125e-07
caregiver_full,elimination,engineered_compact,rf_baseline,20261119,none,0.012425256434526325,0.027066567276936015
caregiver_full,elimination,engineered_compact,rf_baseline,20261119,sigmoid,0.0115876090370195,0.03724815892733329
caregiver_full,elimination,engineered_compact,rf_baseline,20261119,isotonic,0.006458333334293747,9.604166666387715e-07
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261101,none,0.014774220156875406,0.036064976590543835
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261101,sigmoid,0.01301091980947588,0.04133313957352666
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261101,isotonic,0.005902777778744443,9.666666666387715e-07
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261119,none,0.014998677782892189,0.03229214386625066
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261119,sigmoid,0.013251217928054759,0.0442876850255225
caregiver_full,elimination,engineered_pruned,rf_recall_guard,20261119,isotonic,0.006870039683504265,9.645833333070573e-07
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261101,none,0.029967575443553957,0.036802904580237605
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261101,sigmoid,0.03047330049542914,0.04774906220074264
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261101,isotonic,0.02380478767830519,7.708333333269991e-07
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261119,none,0.03079099592353533,0.028061653657695883
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261119,sigmoid,0.03143472281883365,0.04520015832634708
caregiver_full,anxiety,stability_pruned_subset,rf_precision_push,20261119,isotonic,0.024858716475860368,7.645833333288132e-07
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261101,none,0.031606836589083094,0.03594179441011008
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261101,sigmoid,0.03180270005526169,0.04967288472936088
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261101,isotonic,0.023387553419593,7.895833333172609e-07
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261119,none,0.03174977918406468,0.03924662332812861
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261119,sigmoid,0.03175288159376842,0.05252040940828975
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,20261119,isotonic,0.023814528575054447,7.812499999795246e-07
caregiver_full,depression,engineered_pruned,rf_precision_push,20261101,none,0.04265105741037254,0.035571493610077005
caregiver_full,depression,engineered_pruned,rf_precision_push,20261101,sigmoid,0.04232629698900321,0.03944597271455257
caregiver_full,depression,engineered_pruned,rf_precision_push,20261101,isotonic,0.03349074074144074,6.999999999717532e-07
caregiver_full,depression,engineered_pruned,rf_precision_push,20261119,none,0.04348297168643856,0.03024252719963293
caregiver_full,depression,engineered_pruned,rf_precision_push,20261119,sigmoid,0.043292332355188,0.03937765041269653
caregiver_full,depression,engineered_pruned,rf_precision_push,20261119,isotonic,0.03482526925305675,7.041666666416603e-07
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261101,none,0.03861095229534549,0.03129731526090477
caregiver_full,depression,balanced_subset,rf_pos_weight_mid,20261101,sigmoid,0.03946331831410294,0.041375446277780795
