mode,role,domain,winner_feature_set_id,winner_config_id,winner_seed,calibration,threshold_policy,threshold,policy_score,is_selected_policy,val_precision,val_recall,val_balanced_accuracy,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier
caregiver_full,caregiver,depression,full_eligible,rf_precision_push,20260412,none,precision_oriented,0.615,0.9482260172039161,yes,0.9714285714285714,0.8292682926829268,0.912121583527393,0.9618079539053066,0.02771805107631627,0.8356164383561644,0.7439024390243902,0.8568758426277729,0.8699765906318093,0.05093172225792724
caregiver_full,caregiver,depression,full_eligible,rf_precision_push,20260412,none,recall_constrained,0.615,0.9289869165888568,no,0.9714285714285714,0.8292682926829268,0.912121583527393,0.9618079539053066,0.02771805107631627,0.8356164383561644,0.7439024390243902,0.8568758426277729,0.8699765906318093,0.05093172225792724
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260412,isotonic,balanced,0.25499999999999995,0.9806938159879337,no,1.0,0.9615384615384616,0.9807692307692308,0.9953258547008547,0.0034375000009708332,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9598999040175511,0.008053752964194064
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260412,isotonic,default_0_5,0.5,0.9898151175213094,no,1.0,0.9615384615384616,0.9807692307692308,0.9953258547008547,0.0034375000009708332,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9598999040175511,0.008053752964194064
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260412,isotonic,precision_oriented,0.25499999999999995,0.9929006410256409,no,1.0,0.9615384615384616,0.9807692307692308,0.9953258547008547,0.0034375000009708332,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9598999040175511,0.008053752964194064
caregiver_full,caregiver,elimination,precision_oriented_subset,rf_recall_guard,20260412,isotonic,recall_constrained,0.25499999999999995,0.9876095085470086,yes,1.0,0.9615384615384616,0.9807692307692308,0.9953258547008547,0.0034375000009708332,0.9607843137254902,0.9423076923076923,0.9688173975557153,0.9598999040175511,0.008053752964194064
psychologist_1_3,psychologist,adhd,full_eligible,rf_balanced_subsample,20260513,isotonic,balanced,0.20499999999999996,0.8600253932435177,no,0.6326530612244898,0.9893617021276596,0.9247326645353324,0.7193629722035935,0.06504400504468837,0.6496350364963503,0.9468085106382979,0.9112280895160401,0.6842198399494063,0.07458694490762313
psychologist_1_3,psychologist,adhd,full_eligible,rf_balanced_subsample,20260513,isotonic,default_0_5,0.5,0.7920339756533772,no,0.696,0.925531914893617,0.9135431595193473,0.7193629722035935,0.06504400504468837,0.6779661016949152,0.851063829787234,0.8763091169661559,0.6842198399494063,0.07458694490762313
psychologist_1_3,psychologist,adhd,full_eligible,rf_balanced_subsample,20260513,isotonic,precision_oriented,0.27499999999999997,0.7563238785694031,no,0.696,0.925531914893617,0.9135431595193473,0.7193629722035935,0.06504400504468837,0.6779661016949152,0.851063829787234,0.8763091169661559,0.6842198399494063,0.07458694490762313
psychologist_1_3,psychologist,adhd,full_eligible,rf_balanced_subsample,20260513,isotonic,recall_constrained,0.27499999999999997,0.7921021752933392,yes,0.696,0.925531914893617,0.9135431595193473,0.7193629722035935,0.06504400504468837,0.6779661016949152,0.851063829787234,0.8763091169661559,0.6842198399494063,0.07458694490762313
psychologist_1_3,psychologist,anxiety,balanced_subset,rf_large_subsample,20260513,isotonic,balanced,0.21999999999999997,0.9187104102915756,no,0.8863636363636364,0.9069767441860465,0.9407980167630741,0.9525599940145788,0.026797017688858085,0.8588235294117647,0.8488372093023255,0.9091901782552236,0.8895876559795005,0.04184285864446073
psychologist_1_3,psychologist,anxiety,balanced_subset,rf_large_subsample,20260513,isotonic,default_0_5,0.5,0.9179455089991272,no,0.8863636363636364,0.9069767441860465,0.9407980167630741,0.9525599940145788,0.026797017688858085,0.8588235294117647,0.8488372093023255,0.9091901782552236,0.8895876559795005,0.04184285864446073
psychologist_1_3,psychologist,anxiety,balanced_subset,rf_large_subsample,20260513,isotonic,precision_oriented,0.565,0.9405546654267484,yes,0.9714285714285714,0.7906976744186046,0.8928107661433125,0.9525599940145788,0.026797017688858085,0.9,0.7325581395348837,0.8573958210364774,0.8895876559795005,0.04184285864446073
