mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece,stage,val_precision_at_0_5,val_recall_at_0_5,val_balanced_accuracy_at_0_5,holdout_precision_at_0_5,holdout_recall_at_0_5,holdout_balanced_accuracy_at_0_5
psychologist_1_3,adhd,full_eligible,rf_baseline,20260729,isotonic,0.06887117427168418,6.937500000279868e-07,winner_eval,0.6394557823129252,1.0,0.9313471502590673,0.6174496644295302,0.9787234042553191,0.9155275052364679
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,none,0.03381656985203321,0.044512026079506155,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,sigmoid,0.03248116750397065,0.0462562628831296,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,isotonic,0.02565573427551297,8.270833333396247e-07,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260729,none,0.03372141165878118,0.04322201181080077,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260729,sigmoid,0.03246367694178828,0.04181489235398034,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260729,isotonic,0.026659686932228147,8.020833333255052e-07,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260712,none,0.032934326562291574,0.05041953883928572,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260712,sigmoid,0.03141522941754294,0.04502372779876811,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260712,isotonic,0.02563762626344918,8.229166666558792e-07,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260729,none,0.03376876623838478,0.04408306533289242,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260729,sigmoid,0.03201568292659944,0.03771849996351253,stage2,,,,,,
psychologist_1_3,anxiety,full_eligible,rf_baseline,20260729,isotonic,0.02686011716319778,7.708333333495577e-07,stage2,,,,,,
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,none,0.03381656985203321,0.044512026079506155,winner_eval,0.8977272727272727,0.9186046511627907,0.947881005784441,0.8987341772151899,0.8255813953488372,0.9026384134104593
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,sigmoid,0.03248116750397065,0.0462562628831296,winner_eval,0.8902439024390244,0.8488372093023255,0.9129972848542085,0.8904109589041096,0.7558139534883721,0.8677546924802266
psychologist_1_3,anxiety,precision_oriented_subset,rf_recall_guard,20260712,isotonic,0.02565573427551297,8.270833333396247e-07,winner_eval,0.8977272727272727,0.9186046511627907,0.947881005784441,0.8987341772151899,0.8255813953488372,0.9026384134104593
psychologist_1_3,conduct,top_importance_filtered,rf_balanced_subsample,20260712,none,0.06924154685572682,0.028646771942742573,stage2,,,,,,
psychologist_1_3,conduct,top_importance_filtered,rf_balanced_subsample,20260712,sigmoid,0.06979026409510762,0.047050612054993876,stage2,,,,,,
psychologist_1_3,conduct,top_importance_filtered,rf_balanced_subsample,20260712,isotonic,0.06275259961590722,5.625000000381282e-07,stage2,,,,,,
