trial_id,domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,val_balanced_accuracy,val_pr_auc,val_precision,val_recall,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,train_balanced_accuracy,overfit_gap_train_val_ba
71,adhd,psychologist_2_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,120,0.8523743178915593,0.7752411238558246,0.8048780487804879,0.7586206896551724,0.7976190476190477,0.7701149425287356,0.9567430025445293,0.8634289725366324,0.783625730994152,0.9633383054020064,0.768801695145682,0.06254420572916666,1.0,0.14762568210844074
72,adhd,psychologist_2_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.24,120,0.9444444444444444,0.7752411238558246,0.725,1.0,0.6222222222222222,0.9655172413793104,0.8702290076335878,0.9178731245064491,0.7567567567567568,0.9633383054020064,0.768801695145682,0.06254420572916666,1.0,0.05555555555555558
73,adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,default_0_5,0.5,120,0.8913270637408568,0.7222980983769505,0.7378640776699029,0.8735632183908046,0.6782608695652174,0.896551724137931,0.905852417302799,0.901202070720365,0.7722772277227723,0.9596092538972244,0.7665965794170599,0.06955003993297652,1.0,0.1086729362591432
74,adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.12,120,0.9494949494949495,0.7222980983769505,0.7435897435897436,1.0,0.6538461538461539,0.9770114942528736,0.8854961832061069,0.9312538387294902,0.783410138248848,0.9596092538972244,0.7665965794170599,0.06955003993297652,0.9701612903225807,0.02066634082763119
75,adhd,psychologist_2_3,boosted_eng_full,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,default_0_5,0.5,120,0.8862765586903518,0.7305748023664183,0.7169811320754716,0.8735632183908046,0.5864661654135338,0.896551724137931,0.8600508905852418,0.8783013073615864,0.7090909090909091,0.9478225263958352,0.7086764335198976,0.08829692619884952,0.94243679163034,0.056160232939988175
76,adhd,psychologist_2_3,boosted_eng_full,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,balanced,0.35999999999999993,120,0.8967839312666899,0.7305748023664183,0.6991150442477876,0.9080459770114943,0.5704697986577181,0.9770114942528736,0.8371501272264631,0.9070808107396684,0.7203389830508474,0.9478225263958352,0.7086764335198976,0.08829692619884952,0.9358870967741936,0.0391031655075037
77,adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,default_0_5,0.5,120,0.8889469406710786,0.7247909285070386,0.75,0.8620689655172413,0.7363636363636363,0.9310344827586207,0.926208651399491,0.9286215670790559,0.8223350253807107,0.9649907870492235,0.7880816660789473,0.05571967004550946,1.0,0.1110530593289214
78,adhd,psychologist_2_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",sigmoid,balanced,0.13999999999999999,120,0.9410774410774411,0.7247909285070386,0.7131147540983607,1.0,0.6056338028169014,0.9885057471264368,0.8575063613231552,0.923006054224796,0.7510917030567685,0.9649907870492235,0.7880816660789473,0.05571967004550946,0.9459677419354839,0.004890300858042873
79,depression,caregiver_1_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,49,0.8338831650002538,0.839697461183131,0.7818181818181819,0.7049180327868853,0.8870967741935484,0.7051282051282052,0.9825870646766169,0.8438576349024111,0.7857142857142857,0.9781859931113663,0.8626600974532499,0.04654022135416667,1.0,0.16611683499974617
80,depression,caregiver_1_3,full_eligible,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.29,49,0.9278790031974826,0.839697461183131,0.6210526315789474,0.9672131147540983,0.7608695652173914,0.8974358974358975,0.945273631840796,0.9213547646383468,0.8235294117647058,0.9781859931113663,0.8626600974532499,0.04654022135416667,0.9972353870458136,0.06935638384833098
