mode,domain,winner_feature_set_id,winner_config_id,winner_seed,ablation_case,impacted_features,precision,recall,balanced_accuracy,pr_auc,brier,delta_balanced_accuracy_vs_winner,delta_precision_vs_winner,delta_recall_vs_winner
caregiver_1_3,adhd,precision_oriented_subset,rf_regularized,20260712,drop_top_1,adhd_inattention_symptom_count,0.6440677966101694,0.8085106382978723,0.8498511740712159,0.5788916482903729,0.09524398899835239,-0.0709954801014222,0.024067796610169445,-0.18085106382978733
caregiver_1_3,adhd,precision_oriented_subset,rf_regularized,20260712,drop_top_3,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|conduct_symptom_count_12m,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.4208466541726381,-0.62,-0.9893617021276596
caregiver_1_3,adhd,precision_oriented_subset,rf_regularized,20260712,drop_top_5,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|conduct_symptom_count_12m|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_03_seems_not_listening,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.4208466541726381,-0.62,-0.9893617021276596
caregiver_1_3,anxiety,compact_robust_subset,rf_recall_guard,20260712,drop_top_1,mdd_symptom_count,0.9333333333333333,0.16279069767441862,0.5801263133042144,0.8008092090940928,0.07509920097993936,-0.22621296186990902,0.033333333333333326,-0.46511627906976744
caregiver_1_3,anxiety,compact_robust_subset,rf_recall_guard,20260712,drop_top_3,mdd_symptom_count|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas,0.0,0.0,0.5,0.7291434441358194,0.1478098964880063,-0.3063392751741234,-0.9,-0.627906976744186
caregiver_1_3,anxiety,compact_robust_subset,rf_recall_guard,20260712,drop_top_5,mdd_symptom_count|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_07_worthlessness_or_excessive_guilt,0.0,0.0,0.5,0.6620251655580365,0.15864650863757954,-0.3063392751741234,-0.9,-0.627906976744186
caregiver_1_3,conduct,full_eligible,rf_baseline,20260712,drop_top_1,conduct_symptom_count_12m,0.9078947368421053,0.8625,0.909375,0.9302625711059451,0.06816258148824059,-0.014062499999999978,0.023748395378690668,-0.043749999999999956
caregiver_1_3,conduct,full_eligible,rf_baseline,20260712,drop_top_3,conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count,0.9550561797752809,0.53125,0.759375,0.9083583955380162,0.11345537209436354,-0.1640625,0.07090983831186626,-0.375
caregiver_1_3,conduct,full_eligible,rf_baseline,20260712,drop_top_5,conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|conduct_destruction_count|conduct_serious_rule_violation_count,0.9827586206896551,0.35625,0.6765625,0.9128528656993664,0.13016611672388528,-0.24687500000000007,0.0986122792262405,-0.55
caregiver_1_3,depression,precision_oriented_subset,rf_recall_guard,20260712,drop_top_1,mdd_symptom_count,0.8703703703703703,0.573170731707317,0.7777913960044123,0.7974637541874118,0.07963423399983,-0.115302120357887,0.11212861212861214,-0.2682926829268293
caregiver_1_3,depression,precision_oriented_subset,rf_recall_guard,20260712,drop_top_3,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure,1.0,0.04878048780487805,0.524390243902439,0.7470958028996818,0.12708764777161588,-0.36870327245986023,0.2417582417582418,-0.7926829268292682
caregiver_1_3,depression,precision_oriented_subset,rf_recall_guard,20260712,drop_top_5,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure|mdd_01_depressed_or_irritable_mood|mdd_03_weight_or_appetite_change,0.0,0.0,0.5,0.7093152524055785,0.1432652119847506,-0.3930935163622993,-0.7582417582417582,-0.8414634146341463
caregiver_1_3,elimination,stability_pruned_subset,rf_precision_push,20260712,drop_top_1,enuresis_event_frequency_per_week,0.7777777777777778,0.1346153846153846,0.5649712437095615,0.23012669313623804,0.09682119430105669,-0.3344716031631918,-0.004040404040404066,-0.6923076923076923
caregiver_1_3,elimination,stability_pruned_subset,rf_precision_push,20260712,drop_top_3,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week,0.0,0.0,0.5,0.10954738429386722,0.10794595113091292,-0.39944284687275333,-0.7818181818181819,-0.8269230769230769
caregiver_1_3,elimination,stability_pruned_subset,rf_precision_push,20260712,drop_top_5,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|dmdd_outbursts_frequency_per_week|adhd_hypimp_06_talks_excessively|adhd_hyperimpulsive_symptom_count,0.0,0.0,0.5,0.10339151322451436,0.1080611207870317,-0.39944284687275333,-0.7818181818181819,-0.8269230769230769
caregiver_2_3,adhd,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_1,adhd_inattention_symptom_count,0.7184466019417476,0.7872340425531915,0.8560522544372176,0.6418121889361449,0.08457935305091188,-0.08265351118950504,-0.003775620280474623,-0.18085106382978722
caregiver_2_3,adhd,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_3,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.4387057656267226,-0.7222222222222222,-0.9680851063829787
caregiver_2_3,adhd,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_5,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|adhd_impairment_max|adhd_impairment_school,0.0,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.4387057656267226,-0.7222222222222222,-0.9680851063829787
caregiver_2_3,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,drop_top_1,sep_anx_symptom_count,1.0,0.10465116279069768,0.5523255813953488,0.8415440908806264,0.06575178304249234,-0.38445874158895055,0.050000000000000044,-0.7790697674418605
caregiver_2_3,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,drop_top_3,sep_anx_symptom_count|sep_anx_impairment|gad_assoc_symptom_count,0.0,0.0,0.5,0.8131601295852152,0.0847213455609932,-0.43678432298429937,-0.95,-0.8837209302325582
caregiver_2_3,anxiety,precision_oriented_subset,rf_positive_push_strong,20260729,drop_top_5,sep_anx_symptom_count|sep_anx_impairment|gad_assoc_symptom_count|mdd_symptom_count|sep_anx_duration_weeks,0.0,0.0,0.5,0.8118647966656696,0.08890876385959451,-0.43678432298429937,-0.95,-0.8837209302325582
caregiver_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_1,conduct_impairment_global,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
caregiver_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_3,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
caregiver_2_3,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,drop_top_5,conduct_impairment_global|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_aggression_count|conduct_serious_rule_violation_count,0.0,0.0,0.5,0.3333333333333333,0.33333266666766664,-0.5,-1.0,-1.0
caregiver_2_3,depression,full_eligible,rf_precision_push,20260729,drop_top_1,mdd_symptom_count,0.7619047619047619,0.3902439024390244,0.6825591371491604,0.7034995172031138,0.10471362667715665,-0.22631449932589787,0.011904761904761862,-0.4878048780487805
caregiver_2_3,depression,full_eligible,rf_precision_push,20260729,drop_top_3,mdd_symptom_count|mdd_impairment|mdd_duration_weeks,0.8666666666666667,0.3170731707317073,0.653511459737713,0.6893402103048998,0.11768244725279678,-0.2553621767373453,0.1166666666666667,-0.5609756097560976
