domain,role,mode,active_model_id,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,f1_boot_mean,f1_boot_ci_low,f1_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8005480718115351,0.7063318139317438,0.8817127636676709,0.8755853397083969,0.7969851180294217,0.9469844517184942,0.9156442722471774,0.8787196390977546,0.9578659796053774,0.8354407625962335,0.7702442827442828,0.8962029242357111,0.042381901826721816,0.027710423103504342,0.055188565748779866
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8003739750538426,0.7156517461878996,0.8687878787878788,0.9402009257628517,0.8921125098347757,0.9798273155416012,0.9459153905275892,0.9194941028474652,0.9690208717126431,0.8639899788096198,0.8,0.9073302001212856,0.0468491149407063,0.03700156899765303,0.05647231948120249
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8567184113778575,0.7707183441558442,0.9195854320030995,0.8764443537586907,0.7888095238095237,0.9416053921568626,0.9230892760121474,0.883855981416957,0.9562988915614659,0.8655510907786891,0.8034013605442177,0.9172677287466516,0.04894291836040161,0.039671995933970805,0.05893846421655009
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7845659265837435,0.699861111111111,0.8571428571428571,0.8874716750619124,0.8246527777777778,0.9481311371555273,0.9185558745645318,0.8862409352338084,0.9522055277496211,0.8319108052554915,0.77776008492569,0.8864937020810514,0.04890995836040514,0.03813454924901734,0.060239945688002366
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7909997135290541,0.6721311475409836,0.8984436114732725,0.8841429375312254,0.7795724766000506,0.9498139727159981,0.9278936575222477,0.8755578215820761,0.9662818323595844,0.8334708359432408,0.7445322982557024,0.8938429674260967,0.07578839013482139,0.0671036504102876,0.08603833938274759
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.8152894837588448,0.7066666666666667,0.9158422691110341,0.884063104874034,0.8031936813186813,0.9476842105263157,0.9295798315419243,0.8886573789241969,0.9629370548902446,0.8470626471295963,0.7669059011164274,0.9111787518037516,0.10950994859331828,0.10256247209237175,0.11723720185879608
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7454359202354472,0.6347343453510436,0.8438100961538462,0.959330155991341,0.893559204440333,1.0,0.9597367506534578,0.9259792246455393,0.9823205123316919,0.8378674471382197,0.7603527145780666,0.9076012223071046,0.036484513649706674,0.023409527601634464,0.053566868197737996
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7280647007839367,0.6128150201612903,0.8291795665634675,0.9628993957839631,0.9199838709677419,1.0,0.9597698151130913,0.9357077144673595,0.9816657397107897,0.8280544943012131,0.7522200673675615,0.8936343193219166,0.03451149117134798,0.022820081064646513,0.04720353554635693
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7685895208583725,0.6662162162162162,0.8737256874580815,0.9626409152793706,0.9197777777777778,1.0,0.9633042854980447,0.9378884210995279,0.9830765613243039,0.853699890586172,0.7786468741079074,0.9129942310398198,0.034338376831848,0.020717747144710617,0.04713655786230114
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,0.7429997930941163,0.6345405767940979,0.8362587064676615,0.9626409152793706,0.9197777777777778,1.0,0.9606291134922291,0.9354773010781431,0.9812437122736418,0.8375034944438731,0.761501210653753,0.9014538845979101,0.029663773813399456,0.0213447744665477,0.04002794089434325
