trial_id,threshold,val_precision,val_balanced_accuracy,val_recall,test_precision,test_balanced_accuracy,test_recall,test_specificity
V3_T04_comorbidity_aware_conservative_subset,0.6,0.9846153846153847,0.8895155279503105,0.7950310559006211,0.9389312977099237,0.8499875776397516,0.7639751552795031,0.936
V3_T04_comorbidity_aware_conservative_subset,0.6499999999999999,0.984,0.8739875776397515,0.7639751552795031,0.959349593495935,0.8464596273291926,0.7329192546583851,0.96
V3_T04_comorbidity_aware_conservative_subset,0.7,0.991869918699187,0.8748819875776397,0.7577639751552795,0.9734513274336283,0.8296149068322981,0.6832298136645962,0.976
V3_T04_comorbidity_aware_conservative_subset,0.75,0.9914529914529915,0.856248447204969,0.7204968944099379,0.9809523809523809,0.8118757763975155,0.639751552795031,0.984
V3_T04_comorbidity_aware_conservative_subset,0.8,0.990990990990991,0.8376149068322981,0.6832298136645962,0.9891304347826086,0.7786086956521738,0.5652173913043478,0.992
V3_T04_comorbidity_aware_conservative_subset,0.85,1.0,0.8229813664596273,0.6459627329192547,1.0,0.7360248447204969,0.4720496894409938,1.0
V3_T05_calibration_refinement,0.2,0.8546511627906976,0.8565217391304347,0.9130434782608695,0.8125,0.840472049689441,0.968944099378882,0.712
V3_T05_calibration_refinement,0.25,0.8787878787878788,0.8703105590062112,0.9006211180124224,0.8406593406593407,0.8591552795031057,0.9503105590062112,0.768
V3_T05_calibration_refinement,0.3,0.9056603773584906,0.8872049689440994,0.8944099378881988,0.85,0.8671552795031057,0.9503105590062112,0.784
V3_T05_calibration_refinement,0.35,0.910828025477707,0.8880993788819875,0.8881987577639752,0.867816091954023,0.876944099378882,0.937888198757764,0.816
V3_T05_calibration_refinement,0.4,0.9225806451612903,0.8960993788819875,0.8881987577639752,0.8809523809523809,0.8796273291925465,0.9192546583850931,0.84
V3_T05_calibration_refinement,0.44999999999999996,0.9342105263157895,0.9009937888198758,0.8819875776397516,0.896969696969697,0.8916273291925465,0.9192546583850931,0.864
V3_T05_calibration_refinement,0.5,0.9527027027027027,0.9098881987577639,0.8757763975155279,0.90625,0.8903105590062113,0.9006211180124224,0.88
V3_T05_calibration_refinement,0.55,0.9523809523809523,0.9067826086956521,0.8695652173913043,0.9056603773584906,0.8872049689440994,0.8944099378881988,0.88
V3_T05_calibration_refinement,0.6,0.965034965034965,0.9085714285714286,0.8571428571428571,0.9096774193548387,0.881888198757764,0.8757763975155279,0.888
V3_T05_calibration_refinement,0.6499999999999999,0.9712230215827338,0.9032546583850931,0.8385093167701864,0.9194630872483222,0.8774658385093168,0.8509316770186336,0.904
V3_T05_calibration_refinement,0.7,0.9779411764705882,0.9010434782608696,0.8260869565217391,0.9214285714285714,0.8566211180124224,0.8012422360248447,0.912
