trial_id,stage,mode,role,domain,feature_set_id,config_id,seed,calibration,threshold_policy,threshold,n_features,stage_score,selected_for_stage2,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,train_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,val_accuracy,val_objective,overfit_gap_ba,threshold_policy_score,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,holdout_accuracy
3058,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,recall_guard,0.3499999999999999,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.9854166666666667,0.8923427642379023,0.01902583324146545,0.9685006907841661,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9625
3059,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,precision_min_recall,0.7649999999999999,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.9881944444444445,1.0,0.8617021276595744,1.0,0.9308510638297872,0.9257142857142857,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.9729166666666667,0.8835163020275972,0.03900709219858156,0.9768922485570743,0.961038961038961,0.7872340425531915,0.9922279792746114,0.8897310109139014,0.8654970760233918,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9520833333333333
3060,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,sigmoid,recall_constrained,0.3499999999999999,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998468869045432,0.9993748984985353,0.005864139829607926,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.9968581192812259,0.9901990813154239,0.014667916479987561,0.9854166666666667,0.8923427642379023,0.01902583324146545,0.9694896255223057,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942123249917318,0.9763413728235096,0.02531523915451157,0.9625
3061,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,default_0_5,0.5,100,,yes,0.9789473684210527,0.9893617021276596,0.9948186528497409,0.9920901774887003,0.9841269841269841,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.99375,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.998056994818653,0.9902110675674177,0.010940575628915209,0.9854166666666667,0.8927849530029782,0.017252783596075405,0.8941651756906642,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.9625
3062,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,balanced,0.11499999999999999,100,,yes,0.9591836734693877,1.0,0.9896373056994818,0.9948186528497409,0.9791666666666666,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.9916666666666667,0.9387755102040817,0.9787234042553191,0.9844559585492227,0.9815896814022709,0.9583333333333334,0.998056994818653,0.9902110675674177,0.010940575628915209,0.9833333333333333,0.8852684964397342,0.01322897144747004,0.9700863445367123,0.875,0.9680851063829787,0.966321243523316,0.9672031749531473,0.9191919191919192,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.9666666666666667
3063,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,precision_oriented,0.73,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.9881944444444445,1.0,0.8723404255319149,1.0,0.9361702127659575,0.9318181818181818,0.998056994818653,0.9902110675674177,0.010940575628915209,0.975,0.8865826042678504,0.03368794326241131,0.9783997961931965,0.9620253164556962,0.8085106382978723,0.9922279792746114,0.9003693087862419,0.8786127167630058,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.95625
3064,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,recall_guard,0.4049999999999999,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.998056994818653,0.9902110675674177,0.010940575628915209,0.9854166666666667,0.892643109031347,0.01902583324146545,0.9685016496843256,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.9625
3065,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,precision_min_recall,0.73,100,,yes,1.0,0.9397163120567376,1.0,0.9698581560283688,0.9689213893967094,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.9881944444444445,1.0,0.8723404255319149,1.0,0.9361702127659575,0.9318181818181818,0.998056994818653,0.9902110675674177,0.010940575628915209,0.975,0.8865826042678504,0.03368794326241131,0.9785955748418482,0.9620253164556962,0.8085106382978723,0.9922279792746114,0.9003693087862419,0.8786127167630058,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.95625
3066,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261101,isotonic,recall_constrained,0.4049999999999999,100,,yes,0.9790209790209791,0.9929078014184397,0.9948186528497409,0.9938632271340904,0.9859154929577465,0.9998116708925882,0.9988053990422295,0.004268860207483728,0.9944444444444445,0.967741935483871,0.9574468085106383,0.9922279792746114,0.9748373938926249,0.9625668449197861,0.998056994818653,0.9902110675674177,0.010940575628915209,0.9854166666666667,0.892643109031347,0.01902583324146545,0.9694908241475051,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9910291037371843,0.9410979783339011,0.026605490130532927,0.9625
3067,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261119,none,default_0_5,0.5,100,,yes,0.9824561403508771,0.9929078014184397,0.9956822107081175,0.9942950060632786,0.9876543209876543,0.9998713849998163,0.9994728398720313,0.005721171869753049,0.9951388888888889,0.956989247311828,0.9468085106382979,0.9896373056994818,0.9682229081688898,0.9518716577540107,0.9973817660676882,0.9909078739263006,0.014799481407818223,0.98125,0.8849437389116521,0.0260720978943888,0.8870295067432032,0.8888888888888888,0.9361702127659575,0.9715025906735751,0.9538364017197662,0.9119170984455959,0.9942674457060963,0.975578892467564,0.02340153970761454,0.9645833333333333
3068,stage2,psychologist_full,psychologist,adhd,engineered_pruned,rf_pos_weight_mid,20261119,none,balanced,0.4499999999999999,100,,yes,0.9756944444444444,0.9964539007092199,0.9939550949913645,0.9952044978502922,0.9859649122807017,0.9998713849998163,0.9994728398720313,0.005721171869753049,0.9944444444444445,0.9574468085106383,0.9574468085106383,0.9896373056994818,0.9735420571050601,0.9574468085106383,0.9973817660676882,0.9909078739263006,0.014799481407818223,0.9833333333333333,0.8878199614950237,0.021662440745232048,0.9654944328078492,0.88,0.9361702127659575,0.9689119170984456,0.9525410649322015,0.9072164948453608,0.9942674457060963,0.975578892467564,0.02340153970761454,0.9625
