domain,mode,pass_name,model_family,config_id,feature_set_id,weight_policy,trials,best_val_score,best_holdout_ba,best_holdout_f1,best_holdout_pr_auc
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_eng_v1,mode_fragile,2,0.7194284601024322,0.8844118619777313,0.8588235294117647,0.9344357285199777
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,engineered_full_no_eng_v1,none,2,0.7194284601024322,0.8844118619777313,0.8588235294117647,0.9344357285199777
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,precision_oriented_subset,none,2,0.7100905027216591,0.9320912799029876,0.8181818181818182,0.7522362618931291
adhd,psychologist_full,pass_a,hgb,hgb_regularized_v3,precision_oriented_subset,none,2,0.7069464877991944,0.8962903759232719,0.7741935483870968,0.7456670403732799
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,precision_oriented_subset,class_minor_boost,2,0.6884191507434334,0.8988810494984014,0.7813953488372093,0.7452434724992303
anxiety,caregiver_2_3,pass_c,xgb,xgb_regularized_v2,engineered_pruned_no_shortcut_v1,combined_aggressive,2,0.9275926304180142,0.9627847951835675,0.9162011173184358,0.9678767924499002
anxiety,caregiver_2_3,pass_c,xgb,xgb_regularized_v2,engineered_pruned_no_eng_v1,combined_aggressive,2,0.9258067125140398,0.9685987486719396,0.9222222222222223,0.9660928949265671
anxiety,caregiver_2_3,pass_c,hgb,hgb_regularized_v3,engineered_pruned_no_eng_v1,combined_aggressive,2,0.925704900201279,0.9627847951835675,0.9162011173184358,0.9659816455117917
anxiety,caregiver_2_3,pass_a,hgb,hgb_regularized_v3,precision_oriented_subset,none,2,0.9254347819757262,0.9615157596505726,0.9111111111111111,0.9601489165072524
anxiety,caregiver_2_3,pass_a,extra_trees,extra_regularized_v3,compact_subset,none,2,0.9249296183013423,0.9536949592728131,0.9142857142857143,0.955803800017238
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,engineered_pruned_no_eng_v1,cost_asym,2,0.9244377086960249,0.9524259237398183,0.9090909090909091,0.9530529100826652
anxiety,caregiver_2_3,pass_c,rf,rf_precision_guard_v4,engineered_pruned_no_eng_v1,none,2,0.9230385564239217,0.9698677842049346,0.9273743016759777,0.9626076617808437
anxiety,caregiver_2_3,pass_c,xgb,xgb_regularized_v2,engineered_pruned,combined_aggressive,2,0.9223270784933241,0.968067524495337,0.9032258064516129,0.9643621294335937
anxiety,caregiver_2_3,pass_b,hgb,hgb_conservative_v3,stability_pruned_subset,cost_asym,2,0.9218957618925399,0.9809644670050761,0.9197860962566845,0.9694307588625448
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,cost_asym,2,0.9211005689713225,0.9698677842049346,0.9273743016759777,0.9570121612956056
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,cost_asym,2,0.920702832519205,0.934984063274702,0.8901734104046243,0.9559598162801337
anxiety,caregiver_2_3,pass_c,rf,rf_precision_guard_v4,engineered_pruned_no_eng_v1,combined_aggressive,2,0.9204243310670533,0.9685987486719396,0.9222222222222223,0.9558455583677187
anxiety,caregiver_2_3,pass_c,xgb,xgb_regularized_v2,engineered_pruned_no_eng_v1,none,2,0.9202442956447953,0.9673297131389447,0.9171270718232044,0.9660024171594934
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,mode_fragile,2,0.9201513644009454,0.9685987486719396,0.9222222222222223,0.956325466083483
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,none,2,0.9199484717471218,0.9673297131389447,0.9171270718232044,0.9600858684206878
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,engineered_pruned_no_eng_v1,none,2,0.919841880736828,0.9466119702514462,0.9028571428571428,0.9550564894240018
anxiety,caregiver_2_3,pass_c,extra_trees,extra_precision_guard_v3,engineered_pruned_no_eng_v1,none,2,0.919841880736828,0.9466119702514462,0.9028571428571428,0.9550564894240018
anxiety,caregiver_2_3,pass_c,hgb,hgb_regularized_v3,engineered_pruned_no_eng_v1,none,2,0.919573361173942,0.9731436666273168,0.9230769230769231,0.9617487116559208
anxiety,caregiver_2_3,pass_a,extra_trees,extra_regularized_v3,precision_oriented_subset,none,2,0.9193584482451128,0.9744127021603116,0.9281767955801105,0.9586401855025958
anxiety,caregiver_2_3,pass_b,hgb,hgb_conservative_v3,balanced_subset,cost_asym,2,0.9193423678948605,0.976419549049699,0.918918918918919,0.9696822656531275
anxiety,caregiver_2_3,pass_c,extra_trees,extra_precision_guard_v3,engineered_pruned_no_eng_v1,combined_aggressive,2,0.9182892054024656,0.9557018061622005,0.9050279329608939,0.9553223752832335
anxiety,caregiver_2_3,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,none,2,0.9180433340260039,0.9698677842049346,0.9273743016759777,0.960669561515161
anxiety,caregiver_2_3,pass_c,extra_trees,extra_precision_guard_v3,engineered_pruned_no_shortcut_v1,combined_aggressive,2,0.9177520137257612,0.9667984889623421,0.8983957219251337,0.9516415678045582
anxiety,caregiver_2_3,pass_a,hgb,hgb_regularized_v3,precision_oriented_subset,class_minor_boost,2,0.9176778150784043,0.9627847951835675,0.9162011173184358,0.9683081571209511
anxiety,caregiver_2_3,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,cost_asym,2,0.9164985541102737,0.934984063274702,0.8901734104046243,0.9479885399220909
anxiety,caregiver_2_3,pass_a,hgb,hgb_regularized_v3,compact_subset,none,2,0.9159552784924251,0.9673297131389447,0.9171270718232044,0.9615826317611353
anxiety,caregiver_2_3,pass_b,hgb,hgb_conservative_v3,engineered_pruned_no_eng_v1,mode_fragile,2,0.9157970974542964,0.9718746310943218,0.9180327868852459,0.9678090097601293
anxiety,caregiver_2_3,pass_c,hgb,hgb_regularized_v3,engineered_pruned_no_shortcut_v1,combined_aggressive,2,0.9156113669718455,0.9667984889623421,0.8983957219251337,0.9628729700436922
anxiety,caregiver_2_3,pass_a,rf,rf_regularized_v4,compact_subset,none,2,0.9153890958688976,0.9744127021603116,0.9281767955801105,0.9550557709935241
anxiety,caregiver_2_3,pass_a,rf,rf_regularized_v4,compact_subset,class_minor_boost,2,0.9153214800372798,0.9627847951835675,0.9162011173184358,0.9553987570276687
