domain,mode,role,source_campaign,feature_set_id,feature_list_pipe,model_family,config_id,calibration,threshold_policy,threshold,seed,n_features,train_balanced_accuracy,val_balanced_accuracy,val_precision,val_score,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,guard_ok,precision_floor_ok
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_04_irritability,gad_assoc_04_irritability,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.7520000000000001,20270421,1,0.6918899775705347,0.7340337622476685,0.84,0.6152608185049351,0.86,0.5,0.9822335025380711,0.7411167512690355,0.6323529411764706,0.8779364891984416,0.6321401915561535,0.140740516034709,-0.042143784677133755,0.007082989021367059,no,yes
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_04_irritability,gad_assoc_04_irritability,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.7520000000000001,20270439,1,0.6918899775705347,0.7340337622476685,0.84,0.6152608185049351,0.86,0.5,0.9822335025380711,0.7411167512690355,0.6323529411764706,0.8779364891984416,0.6321401915561535,0.140740516034709,-0.042143784677133755,0.007082989021367059,no,yes
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_05_muscle_tension,gad_assoc_05_muscle_tension,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.7100000000000001,20270421,1,0.7336796127966001,0.7560205406681619,0.8363636363636363,0.6477459380796287,0.76,0.4418604651162791,0.9695431472081218,0.7057018061622005,0.5588235294117647,0.8604651162790696,0.5614061154177433,0.13713508944533084,-0.022340927871561833,0.05031873450596147,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_05_muscle_tension,gad_assoc_05_muscle_tension,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.7100000000000001,20270439,1,0.7336796127966001,0.7560205406681619,0.8363636363636363,0.6477459380796287,0.76,0.4418604651162791,0.9695431472081218,0.7057018061622005,0.5588235294117647,0.8604651162790696,0.5614061154177433,0.13713508944533084,-0.022340927871561833,0.05031873450596147,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_06_sleep_problems,gad_assoc_06_sleep_problems,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.682,20270421,1,0.7407232518789596,0.748937551646795,0.8181818181818182,0.6341857970370962,0.6545454545454545,0.4186046511627907,0.9517766497461929,0.6851906504544918,0.5106382978723404,0.8635934364301735,0.5085021950588592,0.14610123231929867,-0.008214299767835387,0.0637469011923032,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_06_sleep_problems,gad_assoc_06_sleep_problems,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.682,20270439,1,0.7407232518789596,0.748937551646795,0.8181818181818182,0.6341857970370962,0.6545454545454545,0.4186046511627907,0.9517766497461929,0.6851906504544918,0.5106382978723404,0.8635934364301735,0.5085021950588592,0.14610123231929867,-0.008214299767835387,0.0637469011923032,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_symptom_count,gad_assoc_symptom_count,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.668,20270421,1,0.8486502970920395,0.9162731672765907,0.8705882352941177,0.8656013161116698,0.7126436781609196,0.7209302325581395,0.9365482233502538,0.8287392279541966,0.7167630057803468,0.9229872506197616,0.7224207484706093,0.10173248436300593,-0.06762287018455115,0.08753393932239406,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_assoc_symptom_count,gad_assoc_symptom_count,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.668,20270439,1,0.8486502970920395,0.9162731672765907,0.8705882352941177,0.8656013161116698,0.7126436781609196,0.7209302325581395,0.9365482233502538,0.8287392279541966,0.7167630057803468,0.9229872506197616,0.7224207484706093,0.10173248436300593,-0.06762287018455115,0.08753393932239406,yes,no
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_difficulty_controlling_worry,gad_difficulty_controlling_worry,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.808,20270421,1,0.6950281352063904,0.7183921614921497,0.95,0.6080771112181605,0.8125,0.3023255813953488,0.9847715736040609,0.6435485774997048,0.4406779661016949,0.8574105772636054,0.5826212583263086,0.13314104241860356,-0.023364026285759287,0.07484358399244484,no,yes
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_difficulty_controlling_worry,gad_difficulty_controlling_worry,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.808,20270439,1,0.6950281352063904,0.7183921614921497,0.95,0.6080771112181605,0.8125,0.3023255813953488,0.9847715736040609,0.6435485774997048,0.4406779661016949,0.8574105772636054,0.5826212583263086,0.13314104241860356,-0.023364026285759287,0.07484358399244484,no,yes
anxiety,psychologist_full,psychologist,hybrid_v6_quick_champion_guard_hotfix_v1,dsm5_core_single__gad_duration_months,gad_duration_months,logreg,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.43000000000000005,20270421,1,0.8255518828945815,0.8743949946877583,0.6271186440677966,0.5532626093705213,0.5573770491803278,0.7906976744186046,0.8629441624365483,0.8268209184275764,0.6538461538461539,0.8570269153582812,0.5610262756336198,0.1395967558148995,-0.0488431117931768,0.04757407626018184,yes,no
