domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
depression,psychologist,social_anxiety_almost_always_triggered,0.012419843832189211,57.0,0.6871508379888268,0.7,1.0,0.38364008951385997,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
depression,psychologist,social_anxiety_fear_negative_evaluation,0.020795367526907353,61.0,0.664804469273743,0.7,1.0,0.38335857761820225,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
depression,psychologist,social_anxiety_avoid_or_endure_intense,0.012468296888363385,58.0,0.6815642458100559,0.7,1.0,0.3825469976061928,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
depression,psychologist,sep_anx_07_separation_nightmares,0.0057320460149684685,55.0,0.6983240223463687,0.7,1.0,0.38253082747675793,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
depression,psychologist,gad_impairment,0.056971476746735555,79.0,0.5642458100558659,0.7,1.0,0.381334900384541,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,social_anxiety_fear_performance,0.01163420350537664,62.0,0.6592178770949721,0.7,1.0,0.3776606771716827,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
depression,psychologist,conduct_impairment_global,0.031206011517188107,71.0,0.6089385474860336,0.7,1.0,0.3773907152558008,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_avoid_or_need_companion,0.0172765158174623,65.0,0.6424581005586592,0.7,1.0,0.37712987802046294,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,agor_escape_help_cognition,0.012771409042879746,63.0,0.6536312849162011,0.7,1.0,0.37711196150468007,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_cognition; respondible por ambos roles
depression,psychologist,adhd_impairment_school,0.022217462963368337,68.0,0.6256983240223464,0.7,1.0,0.3762483962861535,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,gad_assoc_03_concentration_difficulty,0.0286633804470746,75.0,0.5865921787709497,0.7,1.0,0.3716501259777272,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,agor_impairment,0.01679774898326175,70.0,0.6145251396648045,0.7,1.0,0.37130390242459177,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,gad_assoc_01_restlessness,0.022878531923144534,73.0,0.5977653631284916,0.7,1.0,0.37099233858727054,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,adhd_impairment_social,0.01176134933274784,69.0,0.6201117318435754,0.7,1.0,0.369903021035089,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,adhd_impairment_home,0.006579359029240788,67.0,0.6312849162011174,0.7,1.0,0.3695466627548438,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
depression,psychologist,gad_assoc_04_irritability,0.021136888922070277,76.0,0.5810055865921788,0.7,1.0,0.36676956177947084,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,gad_assoc_05_muscle_tension,0.023064302382773853,77.0,0.5754189944134078,0.7,1.0,0.36661595007406844,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa associated_symptom; respondible por ambos roles
depression,psychologist,pdd_05_concentration_difficulty,0.05186599803267741,146.0,0.1899441340782123,1.0,1.0,0.3639218258319812,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa associated_symptom; respondible por ambos roles
depression,psychologist,enuresis_distress_impairment,0.005277081946991521,72.0,0.6033519553072626,0.7,1.0,0.3633089320349483,impairment_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
