domain,mode,role,feature_order,feature,feature_semantic_bucket
elimination,psychologist_1_3,psychologist,31,mdd_07_worthlessness_or_excessive_guilt,cross_domain
elimination,psychologist_1_3,psychologist,32,mdd_09_death_or_suicidal_thoughts,cross_domain
elimination,psychologist_1_3,psychologist,33,sep_anx_02_worry_losing_attachment_figures,cross_domain
elimination,psychologist_1_3,psychologist,34,sep_anx_01_distress_on_separation,cross_domain
elimination,psychologist_1_3,psychologist,35,sep_anx_04_refuses_leaving_home_school,cross_domain
elimination,psychologist_1_3,psychologist,36,sep_anx_03_worry_event_causing_separation,cross_domain
elimination,psychologist_1_3,psychologist,37,sep_anx_05_fear_being_alone_without_attachment,cross_domain
elimination,psychologist_1_3,psychologist,38,sep_anx_06_refuses_sleep_away_or_alone,cross_domain
elimination,psychologist_1_3,psychologist,39,sep_anx_07_separation_nightmares,cross_domain
elimination,psychologist_1_3,psychologist,40,sep_anx_08_physical_complaints_on_separation,cross_domain
elimination,psychologist_1_3,psychologist,41,social_anxiety_avoid_or_endure_intense,cross_domain
elimination,psychologist_1_3,psychologist,42,social_anxiety_almost_always_triggered,cross_domain
elimination,psychologist_1_3,psychologist,43,social_anxiety_fear_being_observed,cross_domain
elimination,psychologist_1_3,psychologist,44,social_anxiety_fear_performance,cross_domain
elimination,psychologist_1_3,psychologist,45,social_anxiety_fear_negative_evaluation,cross_domain
elimination,psychologist_1_3,psychologist,46,agor_escape_help_cognition,cross_domain
elimination,psychologist_1_3,psychologist,47,agor_avoid_or_need_companion,cross_domain
elimination,psychologist_1_3,psychologist,48,adhd_impairment_home,cross_domain
elimination,psychologist_1_3,psychologist,49,agor_impairment,cross_domain
elimination,psychologist_1_3,psychologist,50,conduct_impairment_global,cross_domain
elimination,psychologist_2_3,psychologist,1,enuresis_distress_impairment,elimination_direct
elimination,psychologist_2_3,psychologist,2,enuresis_duration_months_consecutive,elimination_direct
elimination,psychologist_2_3,psychologist,3,enuresis_event_frequency_per_week,elimination_direct
elimination,psychologist_2_3,psychologist,4,encopresis_event_frequency_per_month,elimination_direct
elimination,psychologist_2_3,psychologist,5,encopresis_duration_months_consecutive,elimination_direct
elimination,psychologist_2_3,psychologist,6,enuresis_nocturnal,elimination_direct
elimination,psychologist_2_3,psychologist,7,enuresis_primary_course,elimination_direct
elimination,psychologist_2_3,psychologist,8,adhd_hypimp_01_fidgets,cross_domain
elimination,psychologist_2_3,psychologist,9,adhd_hypimp_02_leaves_seat,cross_domain
elimination,psychologist_2_3,psychologist,10,adhd_hypimp_04_cannot_play_quietly,cross_domain
elimination,psychologist_2_3,psychologist,11,adhd_hypimp_06_talks_excessively,cross_domain
elimination,psychologist_2_3,psychologist,12,adhd_hypimp_05_driven_by_motor,cross_domain
elimination,psychologist_2_3,psychologist,13,adhd_hypimp_08_difficulty_waiting_turn,cross_domain
elimination,psychologist_2_3,psychologist,14,adhd_hypimp_09_interrupts_intrudes,cross_domain
elimination,psychologist_2_3,psychologist,15,adhd_inatt_02_sustained_attention_difficulty,cross_domain
elimination,psychologist_2_3,psychologist,16,adhd_inatt_03_seems_not_listening,cross_domain
elimination,psychologist_2_3,psychologist,17,adhd_inatt_07_loses_things,cross_domain
elimination,psychologist_2_3,psychologist,18,adhd_inatt_06_avoids_sustained_effort,cross_domain
elimination,psychologist_2_3,psychologist,19,adhd_inatt_08_easily_distracted,cross_domain
elimination,psychologist_2_3,psychologist,20,adhd_inatt_09_forgetful_daily_activities,cross_domain
elimination,psychologist_2_3,psychologist,21,conduct_01_bullies_threatens_intimidates,cross_domain
elimination,psychologist_2_3,psychologist,22,conduct_08_fire_setting,cross_domain
elimination,psychologist_2_3,psychologist,23,dmdd_irritable_between_outbursts,cross_domain
elimination,psychologist_2_3,psychologist,24,dmdd_outbursts_frequency_per_week,cross_domain
elimination,psychologist_2_3,psychologist,25,mdd_01_depressed_or_irritable_mood,cross_domain
