domain,mode,seed,precision,recall,balanced_accuracy,pr_auc,brier
anxiety,caregiver_1_3,20270439,0.8780487804878049,0.8372093023255814,0.9059142958328414,0.8560121165566783,0.04328496044327282
anxiety,caregiver_1_3,20270501,0.8875,0.8255813953488372,0.9013693778774643,0.8551328005309207,0.04292874179839603
anxiety,caregiver_2_3,20270421,0.8723404255319149,0.9534883720930233,0.9615157596505726,0.9479810049599138,0.03133195407545129
anxiety,caregiver_2_3,20270439,0.8526315789473684,0.9418604651162791,0.9531637350962106,0.9505756213115187,0.03159690163810647
anxiety,caregiver_2_3,20270501,0.8631578947368421,0.9534883720930233,0.9602467241175776,0.9499390814423967,0.030801032543335067
anxiety,caregiver_full,20270421,0.8316831683168316,0.9767441860465116,0.9667984889623421,0.9521875686266613,0.03149828338966508
anxiety,caregiver_full,20270439,0.8383838383838383,0.9651162790697675,0.962253571006965,0.955324600615897,0.031445821657087085
anxiety,caregiver_full,20270501,0.8316831683168316,0.9767441860465116,0.9667984889623421,0.954311669413082,0.03230535024590959
anxiety,psychologist_1_3,20270421,0.8918918918918919,0.7674418604651163,0.8735686459685987,0.8617884728401903,0.043265713859368275
anxiety,psychologist_1_3,20270439,0.8846153846153846,0.8023255813953488,0.8897414709007201,0.8695397027073197,0.042281084011492845
anxiety,psychologist_1_3,20270501,0.9130434782608695,0.7325581395348837,0.8586648565694723,0.8534898773991378,0.04427720128420701
anxiety,psychologist_2_3,20270421,0.8095238095238095,0.9883720930232558,0.9688053358517295,0.9570837837811128,0.030937033050330506
anxiety,psychologist_2_3,20270439,0.7980769230769231,0.9651162790697675,0.9559083933419903,0.9538314216744035,0.032121504548489485
anxiety,psychologist_2_3,20270501,0.8155339805825242,0.9767441860465116,0.9642604178963523,0.9576330984208471,0.03083004442450325
anxiety,psychologist_full,20270421,0.8173076923076923,0.9883720930232558,0.9700743713847244,0.9505173828363846,0.032296455993050345
anxiety,psychologist_full,20270439,0.7980769230769231,0.9651162790697675,0.9559083933419903,0.9462470276463144,0.03264068551909754
anxiety,psychologist_full,20270501,0.8155339805825242,0.9767441860465116,0.9642604178963523,0.95204499099331,0.03173567073999824
conduct,caregiver_1_3,20270421,0.8766233766233766,0.84375,0.8921875,0.9321715541951723,0.06886664645309691
conduct,caregiver_1_3,20270439,0.8636363636363636,0.83125,0.8828125,0.931448986369789,0.06853175857161246
conduct,caregiver_1_3,20270501,0.8701298701298701,0.8375,0.8875,0.9320318423702473,0.06805070662998086
